,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/05/02,"9,201,052","2,380,402,364",257.0,262.0,256.0,257.0,2.5,"5,906"
1,103/05/05,"13,100,908","3,502,817,160",258.0,274.0,258.0,270.0,13.0,"7,880"
2,103/05/06,"8,604,119","2,322,203,773",273.0,273.5,267.0,267.0,-3.0,"5,089"
3,103/05/07,"8,611,444","2,257,756,828",267.0,267.0,258.0,261.5,-5.5,"5,728"
4,103/05/08,"5,021,673","1,304,617,130",263.5,264.5,257.0,259.0,-2.5,"3,585"
5,103/05/09,"4,459,300","1,155,855,842",258.0,262.0,257.5,259.5,0.5,"3,162"
6,103/05/12,"5,098,185","1,326,026,045",262.0,265.5,256.0,256.5,-3.0,"3,184"
7,103/05/13,"8,631,338","2,264,451,718",261.5,266.0,258.0,261.0,4.5,"4,934"
8,103/05/14,"4,315,656","1,127,851,372",263.0,264.5,259.0,262.0,1.0,"3,007"
9,103/05/15,"4,001,841","1,048,091,918",262.0,266.0,259.0,261.0,-1.0,"2,829"
10,103/05/16,"3,387,696","883,355,048",260.5,263.0,258.5,263.0,2.0,"1,995"
11,103/05/19,"6,749,649","1,804,996,432",264.0,271.0,262.5,268.0,5.0,"4,389"
12,103/05/20,"5,141,959","1,379,256,068",269.0,271.0,265.5,266.5,-1.5,"3,410"
13,103/05/21,"4,099,649","1,090,794,836",266.0,268.5,264.0,264.0,-2.5,"2,336"
14,103/05/22,"7,083,023","1,914,570,710",266.0,273.0,265.0,270.0,6.0,"4,621"
15,103/05/23,"10,635,265","2,957,792,782",271.0,282.0,270.0,280.0,10.0,"6,972"
16,103/05/26,"7,619,478","2,176,895,340",283.0,290.0,279.0,281.0,1.0,"5,300"
17,103/05/27,"4,523,381","1,260,801,212",282.0,283.5,276.0,277.5,-3.5,"2,847"
18,103/05/28,"5,865,049","1,626,747,587",279.0,281.5,275.0,277.5,0.0,"4,058"
19,103/05/29,"4,814,359","1,330,187,443",279.5,279.5,273.0,277.0,-0.5,"3,004"
