,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,106/11/01,"8,735,069","2,853,753,563",324.0,330.0,321.5,327.5,7.5,"5,976"
1,106/11/02,"5,661,816","1,839,053,226",325.0,328.5,320.5,328.5,1.0,"3,647"
2,106/11/03,"6,518,395","2,139,958,748",330.5,333.5,323.5,328.5,0.0,"4,688"
3,106/11/06,"16,232,945","5,467,610,483",336.0,343.5,331.0,336.0,7.5,"10,314"
4,106/11/07,"13,383,962","4,406,237,784",331.0,334.0,323.5,333.5,-2.5,"9,389"
5,106/11/08,"10,018,826","3,325,032,148",339.0,339.0,326.0,326.0,-7.5,"6,992"
6,106/11/09,"9,755,382","3,213,370,478",330.0,335.0,324.0,329.5,3.5,"6,422"
7,106/11/10,"8,925,023","2,981,608,774",331.0,337.5,327.5,337.5,8.0,"5,890"
8,106/11/13,"7,178,884","2,396,271,766",336.0,337.0,329.0,329.5,-8.0,"4,721"
9,106/11/14,"6,386,090","2,141,101,740",334.5,337.0,332.5,337.0,7.5,"3,824"
10,106/11/15,"6,275,564","2,094,678,184",336.5,338.5,330.5,330.5,-6.5,"3,957"
11,106/11/16,"4,657,989","1,522,221,100",329.0,330.0,324.0,326.0,-4.5,"3,305"
12,106/11/17,"3,600,068","1,182,217,440",331.0,332.0,328.0,330.0,4.0,"2,210"
13,106/11/20,"4,737,835","1,550,548,795",330.5,331.5,326.0,326.0,-4.0,"2,527"
14,106/11/21,"5,351,338","1,776,403,054",329.0,334.0,326.5,333.0,7.0,"3,635"
15,106/11/22,"15,361,084","5,287,806,396",338.0,349.5,336.5,346.5,13.5,"9,932"
16,106/11/23,"7,189,739","2,472,999,213",346.0,348.5,340.0,340.0,-6.5,"4,337"
17,106/11/24,"3,837,627","1,308,244,243",340.0,343.0,338.0,342.5,2.5,"2,544"
18,106/11/27,"4,054,577","1,373,331,949",343.0,344.5,336.0,336.5,-6.0,"2,730"
19,106/11/28,"3,630,854","1,215,667,882",337.0,337.5,331.0,333.0,-3.5,"2,408"
20,106/11/29,"3,289,562","1,106,260,208",336.0,339.0,334.0,336.0,3.0,"2,121"
21,106/11/30,"8,443,522","2,763,215,840",333.0,333.5,323.0,323.0,-13.0,"4,423"
