,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,107/02/01,"4,193,984","1,402,111,188",333.0,337.5,329.0,333.5,-0.5,"3,100"
1,107/02/02,"18,722,097","6,529,405,044",338.0,357.0,338.0,353.5,20.0,"11,864"
2,107/02/05,"11,366,109","3,973,640,259",340.0,355.5,340.0,346.5,-7.0,"7,547"
3,107/02/06,"9,351,826","3,150,903,259",339.0,344.5,329.5,337.5,-9.0,"6,944"
4,107/02/07,"16,346,727","5,773,974,361",350.0,365.0,342.0,343.0,5.5,"10,548"
5,107/02/08,"4,839,142","1,655,638,496",345.5,349.0,337.0,337.0,-6.0,"3,438"
6,107/02/09,"6,862,236","2,249,648,088",325.0,337.0,320.0,333.5,-3.5,"4,994"
7,107/02/12,"5,149,300","1,695,726,744",331.0,333.0,324.5,324.5,-9.0,"3,199"
8,107/02/21,"8,080,904","2,761,630,263",334.0,348.0,331.5,342.5,18.0,"5,394"
9,107/02/22,"7,777,893","2,698,321,657",343.0,351.0,339.5,349.0,6.5,"4,635"
10,107/02/23,"4,317,600","1,508,069,500",349.0,350.5,347.0,350.0,1.0,"2,957"
11,107/02/26,"11,150,706","4,000,363,682",350.0,363.0,350.0,358.5,8.5,"6,719"
12,107/02/27,"8,698,341","3,124,758,214",360.0,364.5,354.0,354.0,-4.5,"5,586"
