,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/08/01,"8,601,854","2,159,172,478",241.5,258.0,239.0,257.0,9.0,"6,079"
1,103/08/04,"5,725,746","1,490,771,952",257.0,263.0,257.0,262.0,5.0,"3,745"
2,103/08/05,"6,462,012","1,652,857,560",262.0,262.0,252.5,253.0,-9.0,"3,982"
3,103/08/06,"6,879,244","1,777,582,058",259.0,262.0,254.5,260.5,7.5,"4,475"
4,103/08/07,"5,247,432","1,348,080,228",260.0,262.0,254.0,254.0,-6.5,"3,472"
5,103/08/08,"7,334,874","1,892,524,749",254.5,262.5,254.0,261.5,7.5,"3,869"
6,103/08/11,"8,195,304","2,189,684,884",261.5,271.5,261.5,271.0,9.5,"4,670"
7,103/08/12,"24,035,812","6,898,447,307",288.0,289.5,280.0,285.5,14.5,"11,274"
8,103/08/13,"8,331,482","2,408,211,352",285.0,292.0,284.0,287.0,1.5,"4,813"
9,103/08/14,"6,972,762","2,022,578,456",291.0,292.5,288.0,289.5,2.5,"4,289"
10,103/08/15,"3,842,435","1,110,135,280",290.5,291.5,285.5,289.0,-0.5,"2,395"
11,103/08/18,"4,258,399","1,216,426,110",289.0,290.0,282.0,283.5,-5.5,"2,745"
12,103/08/19,"8,391,196","2,447,885,232",286.0,294.0,286.0,293.0,9.5,"5,372"
13,103/08/20,"5,307,509","1,559,968,128",295.0,297.5,291.0,292.5,-0.5,"3,653"
14,103/08/21,"4,569,438","1,337,460,772",293.0,295.0,289.0,295.0,2.5,"2,850"
15,103/08/22,"4,475,839","1,322,712,005",295.0,298.0,292.5,295.5,0.5,"3,221"
16,103/08/25,"1,678,212","497,079,540",298.0,298.0,294.0,296.5,1.0,"1,141"
17,103/08/26,"7,957,159","2,402,468,541",296.5,305.0,296.5,300.5,4.0,"4,703"
18,103/08/27,"8,260,911","2,539,976,793",303.0,312.5,302.0,307.5,7.0,"5,326"
19,103/08/28,"5,073,819","1,561,995,614",307.5,312.0,304.0,307.0,-0.5,"3,381"
