,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,107/01/02,"1,519,184","498,558,352",326.0,331.5,323.5,330.0,2.0,"1,147"
1,107/01/03,"3,442,238","1,149,648,016",334.5,335.5,332.0,333.5,3.5,"2,355"
2,107/01/04,"2,915,104","976,988,236",338.0,338.0,333.5,335.0,1.5,"1,805"
3,107/01/05,"3,683,850","1,219,873,050",336.5,336.5,327.5,335.0,0.0,"2,427"
4,107/01/08,"5,142,513","1,677,196,770",328.5,329.0,323.5,327.0,-8.0,"3,191"
5,107/01/09,"2,035,700","669,525,100",327.0,331.0,325.5,329.5,2.5,"1,525"
6,107/01/10,"3,988,244","1,281,868,439",329.5,329.5,318.5,319.0,-10.5,"2,747"
7,107/01/11,"2,355,377","756,499,771",318.0,324.5,316.0,324.5,5.5,"1,700"
8,107/01/12,"4,349,430","1,438,594,760",326.0,332.5,324.5,332.5,8.0,"3,013"
9,107/01/15,"2,378,572","792,467,904",333.5,334.0,331.5,333.5,1.0,"1,509"
10,107/01/16,"3,663,680","1,233,914,313",333.0,338.5,332.5,338.0,4.5,"2,548"
11,107/01/17,"3,695,708","1,222,987,946",333.0,334.0,327.0,331.5,-6.5,"2,511"
12,107/01/18,"3,131,751","1,038,715,332",335.0,335.0,329.0,332.0,0.5,"2,216"
13,107/01/19,"2,512,035","839,367,190",333.0,336.0,330.5,335.5,3.5,"1,941"
14,107/01/22,"2,520,714","843,470,040",333.0,337.0,330.0,336.0,0.5,"1,773"
15,107/01/23,"2,642,566","876,258,560",334.5,335.0,329.0,332.5,-3.5,"1,997"
16,107/01/24,"2,762,017","906,079,127",329.5,331.0,323.0,331.0,-1.5,"1,908"
17,107/01/25,"5,226,229","1,700,695,549",328.0,330.0,323.0,324.5,-6.5,"3,346"
18,107/01/26,"2,965,762","959,463,286",324.0,326.5,319.0,326.5,2.0,"2,101"
19,107/01/29,"2,071,140","682,830,840",328.5,331.0,327.0,331.0,4.5,"1,516"
20,107/01/30,"3,660,641","1,197,419,543",331.0,331.0,323.5,323.5,-7.5,"2,271"
21,107/01/31,"5,223,535","1,731,543,655",321.0,336.0,320.5,334.0,10.5,"3,097"
