,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/04/01,"7,107,152","2,351,074,724",331.0,337.0,324.5,337.0,9.0,"4,628"
1,104/04/02,"7,086,252","2,406,479,924",341.0,344.0,333.5,337.0,0.0,"4,453"
2,104/04/07,"11,292,265","4,031,177,241",351.0,360.5,348.5,360.5,23.5,"6,708"
3,104/04/08,"7,827,211","2,768,379,350",360.0,360.5,350.0,350.0,-10.5,"5,189"
4,104/04/09,"6,603,086","2,301,819,256",349.0,352.0,344.0,346.0,-4.0,"4,686"
5,104/04/10,"5,937,612","2,079,829,200",352.0,352.5,347.5,350.0,4.0,"3,553"
6,104/04/13,"6,456,769","2,242,696,257",353.0,353.5,345.0,346.5,-3.5,"3,405"
7,104/04/14,"5,233,153","1,839,401,272",348.5,356.0,346.0,351.5,5.0,"3,737"
8,104/04/15,"4,384,492","1,527,704,208",350.5,352.0,346.0,349.0,-2.5,"2,891"
9,104/04/16,"4,232,838","1,486,407,300",351.5,354.0,348.5,350.0,1.0,"2,554"
10,104/04/17,"3,184,929","1,119,921,579",353.5,353.5,349.5,352.0,2.0,"2,539"
11,104/04/20,"2,954,725","1,033,667,475",353.0,353.0,347.0,351.0,-1.0,"2,207"
12,104/04/21,"10,478,516","3,758,463,680",354.0,363.5,353.0,355.0,4.0,"6,343"
13,104/04/22,"11,996,444","4,434,472,592",360.0,379.0,357.0,379.0,24.0,"7,896"
14,104/04/23,"7,113,805","2,669,084,875",379.0,380.0,371.5,375.0,-4.0,"5,046"
15,104/04/24,"10,365,910","3,970,487,098",382.0,391.0,375.0,376.5,1.5,"6,749"
16,104/04/27,"9,795,927","3,753,882,260",380.0,390.0,379.0,380.0,3.5,"6,067"
17,104/04/28,"8,393,846","3,147,625,442",381.0,383.5,368.5,376.0,-4.0,"5,915"
18,104/04/29,"13,173,165","4,616,102,750",350.0,353.0,350.0,350.0,-26.0,"5,835"
