,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,107/03/01,"5,067,790","1,767,218,580",350.0,351.5,345.0,350.0,-4.0,"3,712"
1,107/03/02,"3,226,469","1,121,630,181",344.0,350.5,343.0,349.0,-1.0,"2,398"
2,107/03/05,"10,778,922","3,846,638,076",351.5,363.0,349.0,349.5,0.5,"6,473"
3,107/03/06,"15,446,756","5,589,290,537",356.0,366.5,356.0,364.5,15.0,"8,899"
4,107/03/07,"8,135,534","2,937,141,274",363.0,365.5,357.0,361.0,-3.5,"5,554"
5,107/03/08,"4,797,705","1,732,397,765",359.0,364.0,358.5,360.0,-1.0,"3,156"
6,107/03/09,"6,795,581","2,473,326,822",361.0,366.0,361.0,362.5,2.5,"3,774"
7,107/03/12,"8,042,161","2,957,212,587",363.0,371.5,363.0,367.0,4.5,"3,943"
8,107/03/13,"6,402,298","2,337,379,174",367.0,369.5,361.5,362.5,-4.5,"4,099"
9,107/03/14,"3,634,127","1,309,463,720",360.0,362.5,359.0,359.5,-3.0,"2,466"
10,107/03/15,"4,701,657","1,696,732,677",358.0,363.0,357.5,361.0,1.5,"3,158"
11,107/03/16,"5,797,333","2,084,249,546",361.0,362.0,355.0,362.0,1.0,"2,979"
12,107/03/19,"2,456,760","891,889,640",365.0,366.0,362.0,362.0,0.0,"2,163"
13,107/03/20,"4,809,181","1,748,097,470",361.5,367.0,359.0,364.5,2.5,"3,010"
14,107/03/21,"4,882,454","1,790,635,386",365.5,370.0,363.0,366.5,2.0,"3,363"
15,107/03/22,"4,421,556","1,605,334,272",367.0,367.5,359.5,362.0,-4.5,"2,900"
16,107/03/23,"5,669,273","2,000,270,091",346.0,360.0,346.0,360.0,-2.0,"3,869"
17,107/03/26,"3,342,256","1,200,436,170",360.0,362.5,357.0,359.0,-1.0,"2,168"
18,107/03/27,"6,558,124","2,417,476,380",366.5,372.0,363.5,371.0,12.0,"4,510"
19,107/03/28,"3,234,550","1,184,071,200",368.0,368.5,364.0,364.0,-7.0,"2,285"
20,107/03/29,"2,914,726","1,058,867,170",361.5,365.5,361.5,361.5,-2.5,"2,068"
21,107/03/30,"3,884,952","1,392,847,816",361.5,362.5,354.5,355.0,-6.5,"2,555"
22,107/03/31,"564,433","200,946,148",356.5,359.0,355.0,356.0,1.0,492
