,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,105/01/04,"4,958,763","1,347,929,562",278.0,278.0,269.0,272.5,-3.5,"3,307"
1,105/01/05,"5,711,027","1,536,061,215",272.5,274.0,262.0,265.0,-7.5,"3,852"
2,105/01/06,"21,936,440","5,369,132,020",250.0,253.5,238.5,251.0,-14.0,"12,905"
3,105/01/07,"25,317,817","5,814,064,642",230.0,236.0,226.0,226.0,-25.0,"12,359"
4,105/01/08,"23,668,122","5,252,340,966",216.0,227.0,216.0,220.5,-5.5,"13,371"
5,105/01/11,"13,888,574","3,098,515,109",223.0,226.5,219.5,222.0,1.5,"8,138"
6,105/01/12,"18,252,876","3,871,747,456",222.0,226.0,200.0,203.5,-18.5,"11,123"
7,105/01/13,"18,423,585","3,934,448,710",208.0,218.0,207.5,215.5,12.0,"10,790"
8,105/01/14,"14,903,329","3,181,049,198",212.0,218.5,206.5,218.5,3.0,"9,105"
9,105/01/15,"15,706,547","3,419,919,840",223.5,224.0,212.5,218.5,0.0,"8,679"
10,105/01/18,"7,231,620","1,570,333,400",212.0,221.5,212.0,219.0,0.5,"5,077"
11,105/01/19,"13,404,630","3,034,539,660",219.0,232.0,217.0,232.0,13.0,"8,158"
12,105/01/20,"14,158,586","3,141,351,162",227.5,229.0,215.0,215.0,-17.0,"9,682"
13,105/01/21,"7,011,851","1,542,064,220",220.0,223.0,217.0,219.5,4.5,"5,000"
14,105/01/22,"7,398,605","1,627,979,810",223.5,225.0,216.5,219.5,0.0,"4,922"
15,105/01/25,"14,683,196","3,353,453,884",227.0,231.5,225.0,228.5,9.0,"8,915"
16,105/01/26,"7,051,943","1,591,363,618",225.0,227.5,223.5,225.0,-3.5,"4,589"
17,105/01/27,"8,147,174","1,835,657,150",227.5,229.0,223.0,223.5,-1.5,"5,617"
18,105/01/28,"14,999,503","3,383,099,690",222.5,231.0,218.5,230.0,6.5,"8,603"
19,105/01/29,"19,799,832","4,797,541,176",230.0,251.0,227.0,244.5,14.5,"11,964"
