,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/01/02,"5,780,252","1,132,135,644",194.5,197.5,194.0,197.0,3.5,"2,927"
1,103/01/03,"4,658,197","908,780,415",196.0,196.5,193.5,195.0,-2.0,"2,568"
2,103/01/06,"7,870,042","1,503,706,490",194.0,194.0,188.5,190.5,-4.5,"4,691"
3,103/01/07,"5,412,443","1,046,748,658",190.5,195.0,190.5,194.5,4.0,"3,207"
4,103/01/08,"4,464,348","867,842,685",194.5,195.5,193.0,194.5,0.0,"3,021"
5,103/01/09,"17,688,785","3,537,213,715",195.5,202.0,195.5,199.5,5.0,"9,374"
6,103/01/10,"8,278,993","1,669,511,586",201.0,203.0,199.0,203.0,3.5,"4,674"
7,103/01/13,"7,088,694","1,448,893,882",204.0,206.0,203.0,204.0,1.0,"4,348"
8,103/01/14,"5,716,019","1,149,611,300",203.0,203.5,199.5,199.5,-4.5,"3,566"
9,103/01/15,"7,584,355","1,545,947,920",202.0,205.0,201.0,204.5,5.0,"4,480"
10,103/01/16,"6,741,314","1,374,405,742",205.5,206.5,202.0,203.0,-1.5,"3,468"
11,103/01/17,"4,682,486","953,909,658",205.0,205.5,202.5,203.0,0.0,"2,660"
12,103/01/20,"8,475,327","1,733,269,515",199.0,207.5,199.0,207.5,4.5,"4,416"
13,103/01/21,"7,251,955","1,514,780,230",207.5,211.0,207.0,207.0,-0.5,"4,252"
14,103/01/22,"9,998,337","2,113,963,090",207.0,214.0,207.0,210.5,3.5,"6,068"
15,103/01/23,"7,153,832","1,486,924,793",211.0,211.0,206.0,206.5,-4.0,"4,588"
16,103/01/24,"6,354,442","1,301,734,610",206.0,208.5,203.0,205.0,-1.5,"4,088"
