,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/08/03,"5,926,138","2,010,133,368",348.0,348.0,334.5,336.0,-12.00,"4,387"
1,104/08/04,"11,214,298","3,611,457,513",339.0,339.0,302.5,314.0,-22.00,"7,889"
2,104/08/05,"9,132,481","2,989,506,597",320.0,339.0,316.0,339.0,+25.00,"6,960"
3,104/08/06,"9,858,263","3,369,271,544",350.0,351.0,335.5,341.5,+2.50,"7,096"
4,104/08/07,"6,530,606","2,257,172,794",339.0,351.0,334.0,351.0,+9.50,"4,741"
5,104/08/10,"5,993,758","2,135,540,546",352.0,363.5,347.0,363.0,+12.00,"4,274"
6,104/08/11,"5,525,081","2,000,934,704",367.0,370.0,354.5,354.5,-8.50,"4,153"
7,104/08/12,"5,039,968","1,778,997,108",351.0,358.0,347.0,357.0,+2.50,"3,754"
8,104/08/13,"5,471,617","1,990,080,971",362.5,367.0,358.5,364.5,+7.50,"3,692"
9,104/08/14,"4,242,425","1,529,303,925",362.5,363.5,356.0,362.5,-2.00,"2,957"
10,104/08/17,"4,160,694","1,471,183,818",365.0,365.0,346.5,346.5,-16.00,"2,712"
11,104/08/18,"3,711,334","1,294,002,564",349.0,353.5,345.0,346.0,-0.50,"2,417"
12,104/08/19,"8,031,095","2,689,148,895",346.5,347.5,318.0,340.0,-6.00,"5,124"
13,104/08/20,"8,070,120","2,669,578,100",334.0,336.5,323.5,329.0,X0.00,"5,461"
14,104/08/21,"11,251,605","3,492,702,630",311.0,318.0,304.5,304.5,-24.50,"7,256"
15,104/08/24,"13,467,879","3,841,970,857",287.0,300.0,274.5,294.5,-10.00,"7,993"
16,104/08/25,"12,212,492","3,759,801,456",293.0,321.0,288.5,318.0,+23.50,"8,786"
17,104/08/26,"9,057,121","2,857,440,736",317.5,321.0,308.5,314.0,-4.00,"6,307"
18,104/08/27,"12,117,357","3,980,763,881",318.0,338.0,317.5,335.0,+21.00,"9,141"
19,104/08/28,"9,571,698","3,195,764,048",344.0,346.5,325.0,325.0,-10.00,"7,310"
