,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,108/02/11,"8,140,267","1,940,667,863",242.0,242.0,235.0,238.5,7.0,"5,251"
1,108/02/12,"7,638,929","1,856,444,105",242.0,246.0,239.0,245.0,6.5,"4,708"
2,108/02/13,"12,712,547","3,000,583,981",238.0,239.5,232.5,235.0,-10.0,"6,830"
3,108/02/14,"5,347,310","1,262,715,516",234.5,237.5,234.0,235.5,0.5,"2,922"
4,108/02/15,"4,436,202","1,047,666,374",235.0,239.0,234.5,234.5,-1.0,"3,055"
5,108/02/18,"5,858,858","1,430,333,494",239.0,247.0,239.0,244.0,9.5,"4,078"
6,108/02/19,"4,760,899","1,167,929,755",245.0,247.5,243.0,245.0,1.0,"2,851"
7,108/02/20,"3,897,566","967,202,434",245.5,249.0,245.5,249.0,4.0,"2,847"
8,108/02/21,"6,580,792","1,626,094,416",248.0,249.0,245.5,247.0,-2.0,"3,144"
9,108/02/22,"4,641,186","1,158,517,834",248.5,253.5,246.5,252.5,5.5,"2,949"
10,108/02/25,"8,956,430","2,256,690,750",256.0,259.5,249.0,249.5,-3.0,"5,615"
11,108/02/26,"10,483,449","2,544,243,556",249.0,249.5,239.0,242.0,-7.5,"6,867"
12,108/02/27,"5,630,929","1,334,438,744",241.5,243.5,234.0,234.0,-8.0,"3,879"
