,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/09/01,"3,049,953","935,508,541",307.5,308.0,305.0,308.0,+5.00,"2,325"
1,103/09/02,"5,333,863","1,608,574,201",308.0,308.0,298.0,299.0,-9.00,"3,242"
2,103/09/03,"8,341,705","2,569,008,477",305.5,312.0,302.0,310.0,+11.00,"5,730"
3,103/09/04,"5,715,397","1,744,864,616",304.0,308.0,302.0,308.0,-2.00,"3,353"
4,103/09/05,"4,965,856","1,506,367,145",308.0,308.0,301.0,303.5,-4.50,"3,231"
5,103/09/09,"4,870,126","1,490,544,178",308.0,309.0,303.0,303.0,-0.50,"3,007"
6,103/09/10,"6,287,592","1,899,596,560",301.0,306.0,299.0,305.5,+2.50,"3,630"
7,103/09/11,"5,189,154","1,585,495,231",306.5,309.0,303.0,303.5,-2.00,"3,103"
8,103/09/12,"9,583,820","2,790,137,518",303.5,305.0,283.0,290.0,-13.50,"6,012"
9,103/09/15,"3,515,077","1,028,432,826",290.0,297.0,288.0,292.0,+2.00,"2,130"
10,103/09/16,"3,760,298","1,093,555,218",295.0,295.0,288.5,290.0,-2.00,"2,183"
11,103/09/17,"5,874,222","1,705,566,880",286.0,294.0,286.0,290.0,X0.00,"3,947"
12,103/09/18,"2,961,970","862,829,740",292.5,293.5,289.5,290.5,+0.50,"2,127"
13,103/09/19,"4,557,589","1,352,152,305",292.0,299.0,292.0,298.5,+8.00,"3,058"
14,103/09/22,"5,539,608","1,626,169,536",298.5,298.5,291.0,291.5,-7.00,"3,596"
15,103/09/23,"3,833,712","1,118,966,980",292.0,295.5,289.0,289.0,-2.50,"2,710"
16,103/09/24,"3,490,832","1,018,124,356",290.0,294.5,289.0,291.0,+2.00,"2,372"
17,103/09/25,"11,293,996","3,183,877,384",291.0,294.0,274.0,277.0,-14.00,"7,104"
18,103/09/26,"12,532,509","3,380,239,951",270.0,275.0,264.0,270.0,-7.00,"7,354"
19,103/09/29,"8,805,255","2,419,946,135",272.0,278.0,272.0,276.0,+6.00,"4,522"
