,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,105/08/01,"4,202,540","945,761,540",223.0,226.5,223.0,225.0,3.0,"2,592"
1,105/08/02,"3,461,300","782,731,300",227.5,227.5,225.0,225.0,0.0,"2,118"
2,105/08/03,"3,070,544","688,710,400",223.0,226.0,222.0,224.0,-1.0,"2,106"
3,105/08/04,"7,832,129","1,729,179,932",224.5,226.0,218.5,219.5,-4.5,"5,316"
4,105/08/05,"10,694,758","2,318,082,714",220.5,221.0,214.5,218.5,-1.0,"6,723"
5,105/08/08,"16,539,745","3,655,574,640",213.0,226.5,213.0,220.5,2.0,"9,826"
6,105/08/09,"7,934,660","1,739,475,198",220.0,223.0,217.0,217.5,-3.0,"4,709"
7,105/08/10,"8,538,130","1,834,713,450",216.0,218.5,213.5,213.5,-4.0,"5,792"
8,105/08/11,"14,777,256","3,076,841,869",210.5,211.5,204.0,209.5,-4.0,"8,655"
9,105/08/12,"7,847,792","1,666,272,479",211.0,214.0,210.0,213.0,3.5,"4,958"
10,105/08/15,"10,053,370","2,194,827,400",215.0,221.0,214.0,219.0,6.0,"5,694"
11,105/08/16,"6,181,940","1,358,193,360",222.5,223.0,217.0,218.5,-0.5,"3,596"
12,105/08/17,"3,458,531","754,994,389",220.0,220.5,217.0,218.0,-0.5,"2,245"
13,105/08/18,"11,440,037","2,569,644,325",222.5,226.0,222.5,225.0,7.0,"6,640"
14,105/08/19,"10,128,848","2,238,813,871",226.5,228.5,222.0,222.0,-3.0,"4,895"
15,105/08/22,"3,493,463","778,365,012",222.0,224.5,222.0,222.5,0.5,"2,301"
16,105/08/23,"3,773,965","843,505,195",224.0,224.5,222.5,223.0,0.5,"2,562"
17,105/08/24,"5,609,605","1,269,957,127",225.5,227.5,224.5,227.5,4.5,"3,650"
18,105/08/25,"4,364,956","998,237,892",228.0,229.5,227.5,229.5,2.0,"2,849"
19,105/08/26,"4,204,883","955,196,941",229.0,229.0,225.5,226.0,-3.5,"2,595"
20,105/08/29,"3,609,680","815,327,540",224.0,229.0,223.0,229.0,3.0,"2,527"
21,105/08/30,"5,804,359","1,342,469,929",230.5,233.0,229.5,231.0,2.0,"3,526"
22,105/08/31,"4,789,429","1,099,206,741",231.0,233.0,228.0,228.0,-3.0,"2,864"
