,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/12/01,"4,231,203","1,359,462,058",321.0,324.5,317.0,322.0,6.0,"3,182"
1,104/12/02,"4,198,724","1,360,669,300",321.0,329.0,320.0,325.0,3.0,"3,107"
2,104/12/03,"2,822,142","912,038,156",325.0,326.5,320.0,320.0,-5.0,"2,068"
3,104/12/04,"3,100,571","984,061,578",317.0,319.0,315.5,317.5,-2.5,"2,092"
4,104/12/07,"6,264,729","2,031,983,870",324.5,329.0,320.0,321.0,3.5,"4,060"
5,104/12/08,"4,645,280","1,503,256,234",322.5,327.0,321.0,322.0,1.0,"3,535"
6,104/12/09,"3,601,455","1,166,134,420",323.0,326.0,321.0,324.0,2.0,"2,580"
7,104/12/10,"5,900,800","1,872,402,300",322.0,322.0,314.0,315.0,-9.0,"4,012"
8,104/12/11,"9,063,138","2,777,718,235",315.5,317.0,300.5,300.5,-14.5,"6,354"
9,104/12/14,"6,038,784","1,765,437,212",290.0,297.0,288.0,291.0,-9.5,"4,359"
10,104/12/15,"8,272,597","2,376,998,311",296.0,298.0,281.0,282.0,-9.0,"5,975"
11,104/12/16,"10,895,858","3,047,706,172",285.0,286.5,272.5,281.5,-0.5,"7,774"
12,104/12/17,"6,353,541","1,832,522,931",285.0,292.0,283.5,291.0,9.5,"4,940"
13,104/12/18,"5,568,718","1,589,458,964",286.0,288.5,283.5,283.5,-7.5,"3,606"
14,104/12/21,"6,578,090","1,832,282,150",278.5,285.0,274.0,282.5,-1.0,"4,114"
15,104/12/22,"6,152,452","1,768,870,176",282.0,291.5,282.0,285.0,2.5,"4,227"
16,104/12/23,"5,265,060","1,525,092,986",289.0,292.5,287.0,289.0,4.0,"3,707"
17,104/12/24,"3,859,013","1,124,365,270",293.5,294.5,289.0,290.0,1.0,"2,652"
18,104/12/25,"1,270,477","365,666,330",290.5,290.5,286.0,288.0,-2.0,980
19,104/12/28,"2,310,530","657,811,990",289.0,290.0,281.5,282.0,-6.0,"1,565"
20,104/12/29,"3,724,882","1,043,961,078",282.0,284.0,277.5,277.5,-4.5,"2,494"
21,104/12/30,"3,540,203","984,011,637",281.0,281.5,275.5,277.5,0.0,"2,213"
