,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/06/03,"8,099,691","2,212,984,025",270.0,277.0,269.0,276.0,8.0,"5,249"
1,103/06/04,"6,415,062","1,789,683,298",276.0,282.0,274.0,280.0,4.0,"4,131"
2,103/06/05,"6,267,587","1,770,792,534",281.5,285.5,278.0,282.0,2.0,"4,282"
3,103/06/06,"6,577,431","1,885,208,904",288.0,291.5,283.0,284.0,2.0,"4,356"
4,103/06/09,"2,752,779","784,666,515",288.0,288.0,283.0,285.0,1.0,"1,970"
5,103/06/10,"7,683,152","2,222,887,437",287.0,294.0,283.0,294.0,9.0,"4,818"
6,103/06/11,"7,888,914","2,311,626,329",292.0,296.0,288.0,294.0,0.0,"5,000"
7,103/06/12,"4,386,011","1,273,167,658",292.0,292.5,288.5,289.0,-5.0,"2,787"
8,103/06/13,"6,558,600","1,910,668,091",293.0,295.0,288.0,288.5,-0.5,"4,308"
9,103/06/16,"3,595,502","1,023,523,568",288.0,288.5,281.5,284.0,-4.5,"2,430"
10,103/06/17,"6,224,141","1,768,072,262",284.0,287.0,281.5,283.0,-1.0,"3,889"
11,103/06/18,"5,659,056","1,613,691,348",285.0,289.0,282.5,283.0,0.0,"4,105"
12,103/06/19,"7,025,756","2,021,801,085",284.0,291.5,283.5,286.5,3.5,"4,169"
13,103/06/20,"3,366,371","962,388,364",286.5,287.5,284.0,285.0,-1.5,"2,168"
14,103/06/23,"7,457,183","2,104,701,959",287.0,289.5,275.0,278.0,-7.0,"4,278"
15,103/06/24,"20,230,074","5,376,289,510",278.0,280.0,259.0,262.0,-16.0,"10,759"
16,103/06/25,"10,896,880","2,939,189,406",266.0,274.0,265.0,273.0,11.0,"6,883"
17,103/06/26,"5,444,113","1,498,311,481",275.0,278.0,271.0,277.0,4.0,"3,804"
18,103/06/27,"3,351,610","922,492,250",275.0,277.5,273.0,275.0,-2.0,"2,253"
