,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/12/01,"5,317,806","1,386,044,784",254.0,264.0,254.0,264.0,2.0,"3,487"
1,103/12/02,"5,548,784","1,435,596,272",260.0,261.5,255.5,258.0,-6.0,"3,913"
2,103/12/03,"5,558,547","1,458,476,220",261.0,265.5,259.0,260.0,2.0,"3,708"
3,103/12/04,"3,891,089","1,016,330,140",260.0,263.0,260.0,260.0,0.0,"2,610"
4,103/12/05,"8,659,700","2,300,215,546",260.0,269.0,258.5,266.5,6.5,"5,936"
5,103/12/08,"6,330,455","1,662,529,930",265.5,265.5,261.0,261.0,-5.5,"4,278"
6,103/12/09,"5,684,240","1,456,266,440",260.0,260.0,253.5,255.0,-6.0,"3,889"
7,103/12/10,"6,444,382","1,628,905,764",253.0,256.5,250.5,250.5,-4.5,"4,201"
8,103/12/11,"5,265,213","1,325,033,176",249.0,254.0,249.0,250.5,0.0,"3,338"
9,103/12/12,"5,070,697","1,291,412,538",254.0,256.5,252.5,253.0,2.5,"3,297"
10,103/12/15,"4,701,486","1,173,626,486",249.0,251.0,248.0,250.0,-3.0,"2,949"
11,103/12/16,"14,789,587","3,548,640,074",243.0,244.5,236.5,237.0,-13.0,"9,569"
12,103/12/17,"11,951,315","2,788,771,340",234.0,236.0,231.5,234.0,-3.0,"7,819"
13,103/12/18,"9,129,395","2,136,756,535",239.0,241.0,228.0,228.0,-6.0,"6,652"
14,103/12/19,"12,453,529","2,886,890,344",232.0,236.5,226.5,233.0,5.0,"7,543"
15,103/12/22,"6,537,680","1,561,458,060",235.0,242.0,234.0,242.0,9.0,"4,766"
16,103/12/23,"5,076,733","1,221,812,386",243.0,244.0,238.5,240.0,-2.0,"3,303"
17,103/12/24,"3,764,377","908,495,857",242.0,243.0,238.0,241.0,1.0,"2,637"
18,103/12/25,"2,208,800","535,541,100",241.0,244.0,240.0,242.0,1.0,"1,596"
19,103/12/26,"2,315,848","560,804,716",242.5,243.5,240.0,242.0,0.0,"1,511"
20,103/12/27,"1,308,060","318,037,080",243.5,244.0,242.0,243.0,1.0,"1,055"
21,103/12/29,"2,179,971","531,515,453",242.0,245.0,241.5,243.0,0.0,"1,721"
22,103/12/30,"3,553,749","874,447,003",245.0,247.0,243.5,247.0,4.0,"2,509"
