,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/10/01,"7,160,393","2,017,995,204",279.5,287.0,278.0,278.5,-3.5,"4,776"
1,103/10/02,"7,062,362","1,990,262,482",278.0,286.0,275.0,284.5,6.0,"4,431"
2,103/10/03,"8,189,494","2,383,500,742",286.5,294.0,286.0,294.0,9.5,"5,067"
3,103/10/06,"10,164,651","2,907,642,658",286.0,288.5,283.5,285.5,-8.5,"6,375"
4,103/10/07,"6,884,743","1,928,189,783",283.0,283.0,277.5,279.0,-6.5,"4,600"
5,103/10/08,"3,933,346","1,099,877,702",275.5,282.5,275.0,278.0,-1.0,"2,811"
6,103/10/09,"6,520,629","1,825,700,862",284.0,284.0,276.0,278.0,0.0,"4,452"
7,103/10/13,"7,383,791","1,980,772,488",269.0,273.0,265.5,265.5,-12.5,"4,800"
8,103/10/14,"4,239,285","1,140,557,805",266.0,272.0,265.5,271.0,5.5,"3,008"
9,103/10/15,"10,511,223","2,739,800,426",270.0,270.0,255.5,258.0,-13.0,"7,238"
10,103/10/16,"7,447,320","1,934,276,353",253.0,266.0,252.0,259.5,1.5,"5,252"
11,103/10/17,"11,688,298","2,943,302,106",262.0,262.0,243.5,244.5,-15.0,"7,056"
12,103/10/20,"6,910,106","1,750,512,060",255.0,256.0,249.5,255.0,10.5,"4,727"
13,103/10/21,"4,113,341","1,047,142,461",255.0,257.0,252.0,253.0,-2.0,"2,783"
14,103/10/22,"5,892,132","1,522,596,924",260.0,261.5,255.0,255.0,2.0,"3,875"
15,103/10/23,"5,077,194","1,283,575,358",256.0,257.5,248.0,256.0,1.0,"3,502"
16,103/10/24,"5,263,643","1,321,815,036",256.0,257.0,248.0,249.5,-6.5,"3,589"
17,103/10/27,"5,550,065","1,365,571,055",252.0,253.0,242.0,245.0,-4.5,"3,610"
18,103/10/28,"7,250,291","1,852,695,742",250.0,262.0,248.5,262.0,17.0,"4,946"
19,103/10/29,"9,677,427","2,596,190,582",264.0,273.0,264.0,266.0,4.0,"6,020"
20,103/10/30,"6,011,460","1,570,815,670",264.5,264.5,260.0,260.5,-5.5,"3,504"
