,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/02/05,"9,984,850","1,967,246,700",191.0,202.5,191.0,201.0,-1.0,"6,346"
1,103/02/06,"9,957,589","2,058,553,012",203.0,210.5,202.0,208.0,7.0,"5,596"
2,103/02/07,"20,710,353","4,491,105,807",213.5,222.5,210.5,220.0,12.0,"11,449"
3,103/02/10,"9,599,744","2,094,716,318",221.0,222.5,215.5,215.5,-4.5,"5,328"
4,103/02/11,"11,159,677","2,463,240,413",217.0,224.0,216.0,218.5,3.0,"6,314"
5,103/02/12,"13,718,377","3,100,755,556",221.0,229.0,221.0,228.5,10.0,"7,712"
6,103/02/13,"10,238,469","2,278,049,680",224.5,226.5,220.0,220.0,-8.5,"6,390"
7,103/02/14,"17,549,315","3,806,517,410",222.5,224.5,213.5,213.5,-6.5,"9,306"
8,103/02/17,"8,111,256","1,761,259,308",216.0,219.0,214.0,218.0,4.5,"4,452"
9,103/02/18,"5,118,890","1,116,101,410",218.0,219.0,216.0,219.0,1.0,"2,969"
10,103/02/19,"4,067,189","887,851,291",220.0,220.0,217.0,217.5,-1.5,"2,393"
11,103/02/20,"5,703,282","1,228,682,265",216.5,218.0,213.0,215.5,-2.0,"3,454"
12,103/02/21,"7,130,529","1,559,008,525",218.0,221.5,216.0,216.0,0.5,"4,272"
13,103/02/24,"5,944,647","1,296,608,693",218.5,219.5,216.5,219.0,3.0,"3,269"
14,103/02/25,"4,627,356","1,012,013,320",219.5,220.0,216.0,220.0,1.0,"2,852"
15,103/02/26,"10,858,142","2,419,738,726",218.0,226.0,218.0,224.0,4.0,"5,693"
