,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,108/05/02,"2,982,631","741,468,512",245.0,251.0,245.0,250.0,5.5,"2,209"
1,108/05/03,"4,747,494","1,215,839,177",250.5,260.0,250.5,259.5,9.5,"3,507"
2,108/05/06,"4,096,501","1,025,073,253",251.0,252.0,247.0,251.5,-8.0,"2,885"
3,108/05/07,"2,691,203","680,916,359",253.0,254.5,251.5,252.0,0.5,"2,150"
4,108/05/08,"2,089,927","518,842,323",247.0,251.0,245.5,248.0,-4.0,"1,671"
5,108/05/09,"4,155,904","1,011,734,268",248.0,249.0,240.0,240.0,-8.0,"2,873"
6,108/05/10,"3,977,649","958,813,111",240.0,245.0,236.5,238.0,-2.0,"2,774"
7,108/05/13,"7,664,038","1,713,791,514",228.0,231.0,219.5,221.5,-16.5,"5,150"
8,108/05/14,"4,102,132","898,909,068",216.5,223.0,213.0,222.0,0.5,"3,138"
9,108/05/15,"2,742,006","612,363,844",222.0,225.0,221.0,222.5,0.5,"1,889"
10,108/05/16,"5,539,661","1,195,843,097",218.5,220.0,213.0,214.5,-8.0,"3,956"
11,108/05/17,"4,423,941","941,155,492",218.5,218.5,210.0,210.0,-4.5,"2,964"
12,108/05/20,"3,237,944","675,240,072",212.0,213.0,205.0,210.5,0.5,"2,309"
13,108/05/21,"3,990,452","831,862,776",208.0,211.5,204.5,209.0,-1.5,"2,922"
14,108/05/22,"4,226,229","880,036,861",210.0,211.5,205.0,206.5,-2.5,"2,790"
15,108/05/23,"10,042,556","1,984,288,683",202.0,202.0,195.0,195.0,-11.5,"6,817"
16,108/05/24,"6,700,368","1,338,322,968",200.0,201.5,197.5,199.0,4.0,"4,291"
17,108/05/27,"3,436,547","673,458,806",200.0,200.5,193.5,195.0,-4.0,"2,684"
18,108/05/28,"5,617,055","1,086,685,623",197.5,197.5,192.0,192.0,-3.0,"2,106"
19,108/05/29,"5,681,531","1,079,178,921",190.5,191.5,187.0,190.5,-1.5,"3,702"
20,108/05/30,"4,708,737","909,584,015",190.0,195.5,190.0,193.0,2.5,"3,252"
21,108/05/31,"6,938,770","1,342,699,320",192.0,196.0,191.5,192.0,-1.0,"3,385"
