,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/07/01,"9,188,073","3,646,330,116",393.0,402.0,391.0,392.0,6.0,"6,383"
1,104/07/02,"4,630,816","1,828,666,688",397.0,397.0,392.5,393.0,1.0,"3,307"
2,104/07/03,"3,946,170","1,544,364,130",394.0,394.0,389.0,390.5,-2.5,"2,802"
3,104/07/06,"3,943,477","1,544,668,333",389.0,395.0,387.0,387.5,-3.0,"3,103"
4,104/07/07,"6,178,039","2,368,762,151",389.5,391.5,379.0,382.5,-5.0,"4,160"
5,104/07/08,"9,160,271","3,377,619,770",378.0,380.5,359.0,369.0,-13.5,"6,149"
6,104/07/09,"6,911,827","2,552,464,260",361.5,380.0,356.0,380.0,11.0,"5,185"
7,104/07/13,"5,503,354","2,080,707,366",382.0,383.5,372.5,381.0,1.0,"3,668"
8,104/07/14,"6,845,885","2,571,934,720",385.0,386.0,368.5,371.0,-10.0,"4,860"
9,104/07/15,"5,203,632","1,949,830,500",375.0,378.0,371.0,375.0,4.0,"3,558"
10,104/07/16,"2,128,578","800,901,750",378.0,380.0,372.5,375.0,0.0,"1,688"
11,104/07/17,"2,982,123","1,128,905,240",379.0,380.5,374.0,380.0,5.0,"2,205"
12,104/07/20,"4,588,228","1,775,217,552",383.0,392.0,381.5,385.0,5.0,"3,452"
13,104/07/21,"4,182,516","1,575,729,048",383.0,383.0,372.5,377.0,-8.0,"3,191"
14,104/07/22,"9,717,498","3,503,787,278",360.5,365.0,356.5,359.0,-18.0,"6,654"
15,104/07/23,"11,636,187","4,085,701,385",358.0,361.0,342.5,352.0,-7.0,"6,671"
16,104/07/24,"4,629,867","1,609,321,382",349.0,353.5,343.5,348.0,-4.0,"3,458"
17,104/07/27,"5,701,981","1,948,978,656",345.0,350.5,333.5,333.5,-14.5,"4,376"
18,104/07/28,"5,974,044","2,039,268,048",338.0,346.5,334.0,342.0,8.5,"4,511"
19,104/07/29,"7,202,658","2,447,254,772",343.0,346.5,333.0,333.0,-9.0,"4,873"
20,104/07/30,"9,733,248","3,223,623,088",333.0,336.5,325.0,330.0,-3.0,"6,290"
