,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,106/08/01,"8,902,712","3,220,503,592",351.5,367.5,351.0,365.0,18.0,"5,821"
1,106/08/02,"9,570,169","3,588,368,875",372.0,378.5,372.0,375.0,10.0,"6,219"
2,106/08/03,"7,377,022","2,809,277,772",380.0,386.0,376.0,376.5,1.5,"5,346"
3,106/08/04,"3,701,671","1,407,095,796",378.0,383.0,377.0,377.5,1.0,"2,827"
4,106/08/07,"11,193,062","4,408,485,004",384.0,399.0,384.0,392.0,14.5,"7,244"
5,106/08/08,"7,431,347","2,863,903,942",393.0,393.0,380.0,385.0,-7.0,"5,069"
6,106/08/09,"5,873,815","2,269,845,734",392.0,395.0,380.0,382.0,-3.0,"4,327"
7,106/08/10,"6,488,708","2,414,706,480",380.0,380.5,362.5,373.5,-8.5,"4,666"
8,106/08/11,"5,983,554","2,226,771,642",370.0,376.0,369.0,372.0,-1.5,"3,590"
9,106/08/14,"2,741,173","1,024,699,529",377.0,377.0,370.0,372.5,0.5,"2,251"
10,106/08/15,"3,131,725","1,168,419,107",380.0,380.5,368.0,369.0,-3.5,"2,447"
11,106/08/16,"2,587,617","959,871,478",369.0,374.5,367.0,369.0,0.0,"2,015"
12,106/08/17,"2,567,735","965,979,454",374.0,379.0,371.5,377.5,8.5,"1,973"
13,106/08/18,"3,821,451","1,415,997,174",372.0,374.0,366.5,371.0,-6.5,"2,719"
14,106/08/21,"1,699,523","633,139,033",375.0,375.5,370.0,371.5,0.5,"1,399"
15,106/08/22,"3,405,893","1,290,252,102",378.0,382.0,375.5,378.5,7.0,"2,450"
16,106/08/23,"3,287,481","1,238,568,280",381.0,382.0,372.0,374.0,-4.5,"2,568"
17,106/08/24,"1,964,954","742,056,704",374.0,380.5,374.0,377.0,3.0,"1,565"
18,106/08/25,"5,771,096","2,224,333,180",381.0,390.0,377.5,387.5,10.5,"4,353"
19,106/08/28,"3,635,713","1,397,063,079",389.0,389.5,381.5,381.5,-6.0,"2,612"
20,106/08/29,"2,367,323","904,246,206",382.0,384.5,379.5,382.0,0.5,"1,687"
21,106/08/30,"2,234,536","855,740,216",384.5,386.0,380.5,380.5,-1.5,"1,875"
22,106/08/31,"3,953,909","1,513,445,914",382.5,384.0,380.0,384.0,3.5,"2,194"
