,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/11/02,"4,783,323","1,529,342,329",322.0,323.5,313.5,319.5,-0.5,"3,404"
1,104/11/03,"7,298,637","2,404,302,210",321.0,333.0,321.0,331.0,11.5,"5,699"
2,104/11/04,"6,650,688","2,243,293,168",336.0,341.0,334.0,336.0,5.0,"4,806"
3,104/11/05,"5,996,405","2,018,037,200",339.0,342.0,331.5,338.0,2.0,"4,329"
4,104/11/06,"8,085,769","2,718,946,422",343.5,344.0,332.0,338.0,0.0,"5,455"
5,104/11/09,"10,781,524","3,563,686,348",339.0,339.0,323.5,325.0,-13.0,"7,416"
6,104/11/10,"5,588,440","1,816,707,000",322.0,329.0,321.5,323.0,-2.0,"4,154"
7,104/11/11,"6,526,287","2,096,006,701",323.0,326.0,318.5,319.0,-4.0,"4,305"
8,104/11/12,"8,691,762","2,721,245,730",321.5,323.0,309.0,311.0,-8.0,"5,581"
9,104/11/13,"5,399,928","1,690,160,320",308.0,318.0,307.0,311.5,0.5,"4,045"
10,104/11/16,"3,524,127","1,089,837,378",304.0,313.0,304.0,310.0,-1.5,"2,641"
11,104/11/17,"4,280,367","1,360,517,706",318.0,321.0,314.0,314.0,4.0,"2,852"
12,104/11/18,"3,838,692","1,206,039,480",315.0,317.0,311.5,313.0,-1.0,"2,758"
13,104/11/19,"4,144,188","1,319,267,160",319.0,320.5,314.5,320.0,7.0,"2,960"
14,104/11/20,"2,797,006","891,520,414",317.0,322.0,316.5,317.0,-3.0,"2,243"
15,104/11/23,"3,128,430","999,429,740",319.0,322.0,316.0,320.0,3.0,"2,344"
16,104/11/24,"3,522,108","1,119,391,844",320.0,320.5,314.0,320.0,0.0,"2,593"
17,104/11/25,"3,545,189","1,123,171,194",320.5,320.5,314.0,317.0,-3.0,"2,818"
18,104/11/26,"3,301,898","1,053,405,449",316.0,321.0,316.0,320.0,3.0,"2,418"
19,104/11/27,"2,962,447","948,842,046",322.0,322.0,318.0,318.0,-2.0,"1,849"
