,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,105/09/01,"3,710,696","840,311,033",229.0,230.0,225.0,226.0,-2.00,"2,553"
1,105/09/02,"4,544,332","1,015,505,027",227.5,227.5,220.5,223.5,-2.50,"3,306"
2,105/09/05,"5,622,245","1,278,313,675",227.5,229.0,225.0,229.0,+5.50,"3,570"
3,105/09/06,"7,277,713","1,683,851,256",232.0,233.0,230.5,231.5,+2.50,"3,959"
4,105/09/07,"19,548,744","4,659,645,668",232.0,242.5,232.0,242.0,+10.50,"9,605"
5,105/09/08,"18,056,523","4,296,388,264",240.0,241.0,235.0,241.0,X0.00,"9,037"
6,105/09/09,"9,157,155","2,190,752,355",240.0,241.5,236.5,241.5,+0.50,"4,848"
7,105/09/10,"4,515,649","1,060,074,366",236.0,237.0,233.5,233.5,-8.00,"2,967"
8,105/09/12,"12,063,028","2,884,557,636",236.0,242.0,235.0,238.5,+5.00,"7,126"
9,105/09/13,"6,463,476","1,549,676,264",243.0,243.0,237.0,239.0,+0.50,"3,839"
10,105/09/14,"19,742,862","4,920,815,916",246.0,252.5,242.5,252.0,+13.00,"10,905"
11,105/09/19,"16,915,509","4,499,103,921",266.5,271.5,260.5,270.0,+18.00,"9,908"
12,105/09/20,"5,623,785","1,496,737,240",268.0,269.0,264.0,264.0,-6.00,"4,135"
13,105/09/21,"5,496,689","1,451,399,585",262.5,266.5,261.0,266.0,+2.00,"3,313"
14,105/09/22,"6,557,553","1,744,144,060",271.0,271.0,261.0,261.5,-4.50,"3,845"
15,105/09/23,"4,259,283","1,128,891,778",264.0,267.0,262.5,267.0,+5.50,"2,707"
16,105/09/26,"7,636,088","1,971,214,148",263.0,263.0,256.0,257.5,-9.50,"5,251"
17,105/09/29,"6,840,363","1,769,816,517",257.5,261.0,256.0,259.0,+1.50,"3,590"
18,105/09/30,"5,009,429","1,278,418,395",255.0,257.0,254.5,254.5,-4.50,"2,916"
