,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,106/03/01,"3,625,596","925,289,888",257.0,258.0,252.5,253.0,-4.0,"2,166"
1,106/03/02,"3,161,730","815,884,238",260.0,260.0,256.0,258.5,5.5,"2,041"
2,106/03/03,"1,806,329","465,361,882",258.0,259.0,256.0,258.5,0.0,"1,218"
3,106/03/06,"1,573,597","407,483,223",259.5,260.0,257.5,260.0,1.5,"1,055"
4,106/03/07,"1,765,359","459,381,516",258.5,262.0,257.0,262.0,2.0,"1,221"
5,106/03/08,"2,363,724","616,719,595",263.0,263.5,259.5,260.5,-1.5,"1,640"
6,106/03/09,"2,079,072","536,533,576",262.0,262.0,256.5,256.5,-4.0,"1,435"
7,106/03/10,"2,095,856","537,621,992",259.0,259.0,254.0,257.0,0.5,"1,431"
8,106/03/13,"1,133,993","291,278,194",256.5,258.5,255.0,256.5,-0.5,847
9,106/03/14,"9,170,517","2,465,306,871",262.0,274.0,260.5,273.5,17.0,"5,657"
10,106/03/15,"4,086,345","1,096,062,825",272.0,272.5,266.0,266.5,-7.0,"2,752"
11,106/03/16,"6,990,690","1,920,687,134",273.5,280.0,270.0,270.5,4.0,"4,848"
12,106/03/17,"12,059,563","3,410,242,766",288.0,288.0,278.0,282.0,11.5,"7,391"
13,106/03/20,"8,026,408","2,314,439,428",284.0,293.0,282.0,291.5,9.5,"5,980"
14,106/03/21,"6,299,874","1,841,393,680",291.5,294.5,289.0,294.5,3.0,"4,549"
15,106/03/22,"6,964,719","2,020,532,348",288.0,292.0,287.0,292.0,-2.5,"2,767"
16,106/03/23,"4,307,217","1,251,086,314",294.0,294.0,289.0,289.5,-2.5,"2,288"
17,106/03/24,"2,683,932","772,496,074",290.0,291.0,285.5,285.5,-4.0,"1,958"
18,106/03/27,"3,988,760","1,131,343,580",284.0,285.5,281.0,284.5,-1.0,"2,895"
19,106/03/28,"4,761,674","1,342,643,544",286.0,289.0,276.0,280.0,-4.5,"3,215"
20,106/03/29,"4,583,901","1,316,615,830",285.0,290.0,282.5,290.0,10.0,"3,492"
21,106/03/30,"5,203,639","1,511,974,578",291.0,292.0,287.0,289.5,-0.5,"3,531"
22,106/03/31,"8,364,608","2,499,557,184",293.5,304.0,290.5,300.0,10.5,"5,604"
