,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,106/09/01,"2,117,541","813,517,177",385.0,386.0,382.5,383.5,-0.50,"1,461"
1,106/09/04,"4,931,572","1,856,429,356",380.0,380.0,374.0,374.0,-9.50,"3,636"
2,106/09/05,"4,052,206","1,511,727,132",377.5,379.0,369.0,372.0,-2.00,"2,884"
3,106/09/06,"6,341,829","2,375,298,875",378.0,381.0,368.5,370.0,-2.00,"4,241"
4,106/09/07,"5,416,825","1,978,719,125",374.0,374.0,362.0,362.0,-8.00,"4,084"
5,106/09/08,"6,897,537","2,469,660,234",362.5,364.5,356.0,359.5,-2.50,"4,841"
6,106/09/11,"4,707,998","1,703,248,275",363.0,366.0,359.0,359.5, 0.00,"3,568"
7,106/09/12,"4,514,110","1,605,766,486",361.0,362.0,352.0,352.5,-7.00,"3,287"
8,106/09/13,"12,898,659","4,378,147,083",352.5,352.5,332.0,335.0,-17.50,"7,900"
9,106/09/14,"11,524,510","3,781,457,850",326.0,333.5,323.5,325.5,X0.00,"7,022"
10,106/09/15,"13,254,297","4,282,574,901",325.5,331.0,315.5,331.0,+5.50,"8,186"
11,106/09/18,"5,008,020","1,649,294,563",333.0,333.0,325.5,326.0,-5.00,"3,918"
12,106/09/19,"5,386,553","1,754,517,222",331.0,331.0,320.0,320.5,-5.50,"3,718"
13,106/09/20,"9,756,028","3,036,105,208",321.5,322.5,305.5,309.0,-11.50,"6,661"
14,106/09/21,"9,929,056","3,107,280,000",310.5,317.0,306.0,312.0,+3.00,"6,887"
15,106/09/22,"7,698,198","2,334,688,598",312.5,313.0,300.0,300.0,-12.00,"5,694"
16,106/09/25,"13,186,408","3,843,887,746",303.0,303.0,286.0,286.5,-13.50,"8,192"
17,106/09/26,"13,897,670","4,056,512,910",290.0,297.5,286.0,286.0,-0.50,"8,380"
18,106/09/27,"9,691,180","2,822,203,000",295.0,297.0,287.5,287.5,+1.50,"6,256"
19,106/09/28,"10,032,907","2,913,615,844",292.0,293.5,285.0,289.5,+2.00,"6,342"
20,106/09/29,"13,010,691","3,670,237,890",289.5,290.0,276.5,282.5,-7.00,"7,779"
21,106/09/30,"5,867,908","1,706,019,805",287.0,295.0,286.0,295.0,+12.50,"4,453"
