,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,107/05/02,"6,129,139","2,063,810,204",340.0,344.0,331.5,333.0,2.0,"4,042"
1,107/05/03,"4,647,665","1,502,331,954",325.0,327.5,320.0,321.5,-11.5,"3,364"
2,107/05/04,"3,134,588","999,757,772",320.0,323.0,317.0,317.0,-4.5,"2,071"
3,107/05/07,"7,843,848","2,626,837,972",333.0,340.5,327.5,334.5,17.5,"5,382"
4,107/05/08,"4,934,207","1,646,313,552",334.5,336.5,329.0,336.0,1.5,"3,338"
5,107/05/09,"3,975,920","1,332,123,914",335.0,338.5,330.5,338.0,2.0,"2,733"
6,107/05/10,"4,193,549","1,417,075,111",336.5,340.0,334.5,338.0,0.0,"2,539"
7,107/05/11,"5,602,563","1,925,932,048",340.0,346.0,340.0,346.0,8.0,"3,177"
8,107/05/14,"5,122,588","1,808,150,152",349.5,357.5,347.0,355.0,9.0,"3,848"
9,107/05/15,"2,450,570","855,608,860",357.0,357.0,346.5,346.5,-8.5,"1,785"
10,107/05/16,"1,883,890","650,341,830",345.5,348.0,343.0,345.0,-1.5,"1,502"
11,107/05/17,"1,516,967","521,868,181",348.5,349.5,341.0,341.0,-4.0,"1,148"
12,107/05/18,"2,204,784","754,839,230",341.0,345.0,338.5,342.0,1.0,"1,399"
13,107/05/21,"5,175,816","1,837,948,180",348.5,359.0,347.5,356.0,14.0,"3,900"
14,107/05/22,"2,147,797","764,512,940",355.0,358.0,353.5,355.0,-1.0,"1,545"
15,107/05/23,"3,944,977","1,369,381,588",355.5,356.0,342.5,342.5,-12.5,"2,686"
16,107/05/24,"1,485,175","511,161,786",343.5,347.5,342.5,342.5,0.0,"1,186"
17,107/05/25,"3,106,012","1,083,156,664",344.5,352.0,343.0,347.5,5.0,"2,103"
18,107/05/28,"2,562,987","891,070,976",349.0,350.5,345.0,345.0,-2.5,"1,905"
19,107/05/29,"1,512,035","524,461,575",347.5,349.5,344.5,345.0,0.0,"1,138"
20,107/05/30,"3,158,381","1,085,713,587",342.5,348.5,339.0,346.0,1.0,"2,195"
21,107/05/31,"3,968,843","1,380,364,678",350.5,350.5,343.5,348.5,2.5,"1,784"
