,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,105/03/01,"13,054,322","3,532,876,390",261.0,276.0,261.0,275.0,15.0,"8,698"
1,105/03/02,"10,864,985","3,046,336,296",282.0,283.5,278.5,278.5,3.5,"6,817"
2,105/03/03,"6,667,380","1,824,844,740",276.5,280.5,269.0,271.0,-7.5,"4,841"
3,105/03/04,"5,457,524","1,504,466,624",273.5,278.0,271.0,275.5,4.5,"4,188"
4,105/03/07,"4,692,470","1,275,846,037",274.0,274.0,269.5,272.5,-3.0,"3,490"
5,105/03/08,"5,595,330","1,503,341,430",274.5,275.0,264.0,270.0,-2.5,"4,118"
6,105/03/09,"4,839,808","1,305,304,892",270.0,274.5,266.0,273.5,3.5,"3,544"
7,105/03/10,"2,877,310","781,257,200",274.5,274.5,269.5,269.5,-4.0,"2,223"
8,105/03/11,"4,261,964","1,166,435,672",270.0,275.0,270.0,274.5,5.0,"3,218"
9,105/03/14,"4,601,017","1,297,178,277",284.5,284.5,280.0,281.0,6.5,"3,385"
10,105/03/15,"5,659,675","1,577,343,950",282.0,284.0,276.0,276.0,-5.0,"3,244"
11,105/03/16,"7,196,823","2,034,485,586",280.5,286.5,278.5,282.0,6.0,"4,569"
12,105/03/17,"4,223,689","1,191,491,420",286.0,287.0,278.5,279.5,-2.5,"3,124"
13,105/03/18,"11,854,242","3,434,094,252",283.5,294.5,281.0,294.5,15.0,"7,317"
14,105/03/21,"5,669,780","1,643,082,295",292.5,292.5,287.0,289.5,-5.0,"3,527"
15,105/03/22,"4,407,731","1,250,903,797",287.0,288.0,281.0,285.0,-4.5,"3,335"
16,105/03/23,"2,336,644","664,240,896",283.0,288.0,282.0,283.5,-1.5,"1,751"
17,105/03/24,"5,773,207","1,591,498,132",278.5,279.0,272.0,275.0,-8.5,"4,221"
18,105/03/25,"7,015,426","1,883,483,668",275.0,278.0,264.0,266.5,-8.5,"4,812"
19,105/03/28,"12,314,187","3,178,514,872",266.0,266.0,253.0,253.5,-13.0,"8,182"
20,105/03/29,"7,409,397","1,886,253,637",255.5,259.5,250.0,251.5,-2.0,"5,276"
21,105/03/30,"10,208,068","2,674,179,774",257.0,267.0,256.0,267.0,15.5,"7,109"
