,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,106/12/01,"5,882,898","1,929,438,146",327.0,332.0,322.0,328.5,5.5,"4,115"
1,106/12/04,"4,117,511","1,342,767,152",328.5,332.0,319.0,332.0,3.5,"3,163"
2,106/12/05,"4,495,470","1,488,130,010",330.0,334.5,326.5,332.0,0.0,"2,758"
3,106/12/06,"8,577,304","2,734,404,348",325.0,328.0,311.0,311.0,-21.0,"5,944"
4,106/12/07,"5,719,777","1,792,003,424",314.5,318.5,308.0,311.0,0.0,"3,781"
5,106/12/08,"4,703,481","1,461,339,996",312.0,316.0,306.0,313.0,2.0,"3,475"
6,106/12/11,"4,954,567","1,588,318,574",319.0,324.5,316.5,322.0,9.0,"3,516"
7,106/12/12,"3,806,502","1,206,391,136",320.0,322.0,315.0,317.0,-5.0,"2,071"
8,106/12/13,"2,533,916","802,680,704",317.0,319.0,315.5,316.0,-1.0,"1,402"
9,106/12/14,"3,371,353","1,088,172,078",319.0,326.0,319.0,320.0,4.0,"2,392"
10,106/12/15,"4,212,264","1,347,082,908",323.5,324.0,315.0,322.0,2.0,"2,143"
11,106/12/18,"2,223,007","719,719,271",324.0,326.5,320.5,325.5,3.5,"1,748"
12,106/12/19,"2,326,737","758,908,525",324.5,327.5,323.0,327.0,1.5,"1,919"
13,106/12/20,"4,279,598","1,419,984,936",330.0,335.0,328.5,328.5,1.5,"3,190"
14,106/12/21,"2,152,333","712,889,781",329.5,333.0,329.5,331.5,3.0,"1,755"
15,106/12/22,"2,163,792","718,954,444",333.0,334.0,330.5,334.0,2.5,"1,535"
16,106/12/25,"1,568,968","516,600,952",332.0,333.5,327.0,329.5,-4.5,956
17,106/12/26,"4,963,176","1,571,210,468",328.0,328.5,310.0,315.0,-14.5,"3,314"
18,106/12/27,"1,720,288","549,804,299",317.5,321.0,315.5,320.5,5.5,"1,341"
19,106/12/28,"2,470,879","807,919,247",323.0,330.0,322.5,328.5,8.0,"1,795"
20,106/12/29,"1,730,045","568,872,015",330.0,332.0,327.0,328.0,-0.5,"1,251"
