,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/03/02,"5,539,328","1,608,824,623",292.0,292.5,288.5,289.0,2.0,"3,396"
1,104/03/03,"4,274,108","1,228,918,996",292.0,292.0,285.0,287.0,-2.0,"2,884"
2,104/03/04,"4,246,319","1,210,218,429",288.5,289.0,283.5,283.5,-3.5,"2,739"
3,104/03/05,"6,073,084","1,747,345,276",288.0,291.5,284.0,289.0,5.5,"4,175"
4,104/03/06,"13,137,403","3,896,501,979",289.0,302.0,289.0,298.0,9.0,"7,596"
5,104/03/09,"4,426,816","1,312,546,852",298.0,300.0,293.5,297.0,-1.0,"2,791"
6,104/03/10,"4,550,487","1,349,613,639",299.5,299.5,294.5,297.0,0.0,"2,921"
7,104/03/11,"6,137,930","1,823,982,640",295.0,299.0,293.5,299.0,2.0,"3,534"
8,104/03/12,"4,053,098","1,197,863,410",299.0,299.0,294.0,294.0,-5.0,"2,985"
9,104/03/13,"5,531,592","1,613,565,970",298.0,298.0,288.5,289.0,-5.0,"3,521"
10,104/03/16,"3,682,804","1,059,446,143",289.0,291.5,285.0,287.5,-1.5,"2,331"
11,104/03/17,"4,315,824","1,248,016,312",290.0,292.5,287.0,287.5,0.0,"2,847"
12,104/03/18,"5,209,190","1,517,391,170",287.5,294.0,286.0,294.0,6.5,"3,490"
13,104/03/19,"13,272,478","4,005,291,878",297.0,306.0,295.5,303.0,9.0,"7,938"
14,104/03/20,"12,982,962","4,206,336,688",324.0,324.0,323.0,324.0,21.0,"4,227"
15,104/03/23,"20,548,758","7,002,458,838",333.0,346.5,333.0,345.0,21.0,"10,989"
16,104/03/24,"9,522,768","3,227,508,120",340.0,342.5,333.0,342.0,-3.0,"5,923"
17,104/03/25,"5,707,263","1,942,198,751",341.5,345.0,337.0,338.5,-3.5,"3,552"
18,104/03/26,"8,737,996","2,928,193,360",335.5,338.5,331.0,336.5,-2.0,"4,861"
19,104/03/27,"9,766,505","3,270,933,862",336.5,345.0,324.5,326.5,-10.0,"6,413"
20,104/03/30,"7,782,822","2,565,815,082",330.0,335.5,324.5,331.0,4.5,"5,163"
