,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,103/07/01,"6,834,504","1,898,699,104",279.0,283.5,275.0,275.0,-3.5,"4,512"
1,103/07/02,"5,755,657","1,594,742,646",278.0,282.0,272.0,278.0,3.0,"3,743"
2,103/07/03,"4,236,566","1,185,829,546",278.5,281.5,277.5,281.0,3.0,"2,571"
3,103/07/04,"6,348,563","1,753,419,292",282.0,282.5,274.0,274.0,-7.0,"3,948"
4,103/07/07,"8,336,801","2,361,302,569",283.0,289.0,279.5,283.5,9.5,"5,175"
5,103/07/08,"3,378,172","958,487,348",285.0,285.5,282.0,284.0,0.5,"2,405"
6,103/07/09,"3,686,244","1,035,576,320",284.0,284.0,277.5,281.0,-3.0,"2,271"
7,103/07/10,"3,983,437","1,123,626,734",278.0,284.5,278.0,282.5,1.5,"2,588"
8,103/07/11,"4,281,577","1,198,089,266",282.5,283.5,276.0,279.5,-3.0,"2,801"
9,103/07/14,"3,286,934","907,751,284",280.5,281.0,273.0,275.0,-4.5,"2,087"
10,103/07/15,"3,729,438","1,045,842,350",278.5,283.0,278.0,281.0,6.0,"2,503"
11,103/07/16,"3,370,007","942,533,430",283.0,283.0,276.5,276.5,-4.5,"2,060"
12,103/07/17,"5,374,237","1,470,533,938",278.5,278.5,271.0,274.0,-2.5,"3,382"
13,103/07/18,"7,836,806","2,117,842,805",270.0,280.0,263.0,280.0,6.0,"4,593"
14,103/07/21,"4,577,956","1,282,227,312",280.0,283.5,278.0,278.0,-2.0,"2,796"
15,103/07/22,"2,513,797","696,625,769",278.0,279.0,275.0,277.0,-1.0,"1,716"
16,103/07/24,"9,240,519","2,628,008,608",280.0,288.0,278.5,282.5,5.5,"5,098"
17,103/07/25,"7,141,522","1,972,576,550",282.0,283.0,272.0,274.0,-8.5,"4,643"
18,103/07/28,"13,278,174","3,503,734,762",270.0,272.5,255.5,261.5,-12.5,"8,404"
19,103/07/29,"14,701,169","3,706,369,814",263.0,264.5,246.0,249.5,-12.0,"9,309"
20,103/07/30,"10,374,924","2,598,030,044",249.0,256.0,245.0,256.0,6.5,"6,591"
