,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,105/05/03,"10,998,241","2,403,791,261",224.0,224.0,214.5,220.0,-7.0,"6,163"
1,105/05/04,"7,204,044","1,574,040,004",220.0,225.0,214.0,214.0,-6.0,"4,930"
2,105/05/05,"14,860,171","3,036,297,457",208.5,209.5,201.0,202.0,-12.0,"9,513"
3,105/05/06,"18,753,822","3,968,088,230",205.0,221.0,205.0,214.0,12.0,"10,815"
4,105/05/09,"8,231,172","1,794,016,980",214.5,223.0,212.0,213.0,-1.0,"5,970"
5,105/05/10,"5,553,542","1,176,000,572",212.0,216.0,206.5,216.0,3.0,"4,119"
6,105/05/11,"6,373,303","1,366,571,956",216.0,218.5,210.0,210.0,-6.0,"4,474"
7,105/05/12,"7,256,565","1,549,222,040",208.0,217.5,208.0,216.0,6.0,"4,730"
8,105/05/13,"9,020,510","1,898,360,373",211.5,213.5,208.5,210.5,-5.5,"5,380"
9,105/05/16,"4,574,936","972,930,240",209.5,215.0,208.0,215.0,4.5,"3,076"
10,105/05/17,"9,848,078","2,173,401,238",218.0,224.0,216.0,220.5,5.5,"6,791"
11,105/05/18,"5,184,268","1,148,455,626",217.5,224.0,217.5,222.5,2.0,"3,693"
12,105/05/19,"5,664,153","1,260,690,813",224.5,226.0,219.0,220.0,-2.5,"3,766"
13,105/05/20,"13,042,422","2,989,060,826",224.0,232.5,224.0,231.0,11.0,"8,046"
14,105/05/23,"17,285,872","4,280,054,244",236.0,254.0,236.0,253.5,22.5,"10,105"
15,105/05/24,"7,283,313","1,821,258,937",252.0,253.0,248.5,249.0,-4.5,"4,497"
16,105/05/25,"14,670,727","3,645,997,961",252.0,258.0,241.0,241.0,-8.0,"9,080"
17,105/05/26,"5,750,317","1,399,092,187",243.0,246.5,241.0,241.5,0.5,"3,779"
18,105/05/27,"6,463,199","1,585,479,050",245.0,247.5,242.0,246.0,4.5,"4,154"
19,105/05/30,"4,449,959","1,096,026,887",246.0,249.0,243.0,247.5,1.5,"3,028"
