,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,107/04/02,"2,255,507","805,713,006",360.5,360.5,353.5,357.5,1.5,"1,621"
1,107/04/03,"3,410,813","1,212,702,241",360.0,360.5,353.0,353.0,-4.5,"2,545"
2,107/04/09,"4,130,404","1,495,606,132",363.5,367.0,357.0,357.0,4.0,"3,005"
3,107/04/10,"3,518,810","1,284,492,840",360.0,368.5,357.5,364.0,7.0,"2,712"
4,107/04/11,"3,314,562","1,202,947,320",367.0,367.0,358.0,358.0,-6.0,"2,279"
5,107/04/12,"3,530,928","1,288,392,648",362.0,368.0,361.0,367.5,9.5,"2,420"
6,107/04/13,"4,191,826","1,533,835,248",366.0,370.0,362.5,362.5,-5.0,"2,313"
7,107/04/16,"5,794,846","2,140,819,674",366.0,373.0,365.0,370.0,7.5,"3,526"
8,107/04/17,"5,369,090","1,949,162,260",366.5,366.5,361.0,361.5,-8.5,"3,547"
9,107/04/18,"3,134,639","1,145,370,630",366.0,367.5,363.0,364.5,3.0,"2,231"
10,107/04/19,"5,493,857","2,034,946,590",368.0,373.5,365.0,371.0,6.5,"3,541"
11,107/04/20,"10,609,543","3,772,013,550",366.0,366.5,347.0,347.5,-23.5,"7,323"
12,107/04/23,"8,165,487","2,751,493,593",347.5,347.5,331.5,335.0,-12.5,"5,774"
13,107/04/24,"6,727,540","2,214,769,660",336.0,337.0,324.0,325.5,-9.5,"4,849"
14,107/04/25,"5,135,285","1,669,859,335",319.0,331.0,318.0,326.5,1.0,"3,749"
15,107/04/26,"2,911,387","957,335,852",330.0,333.0,325.0,326.5,0.0,"2,082"
16,107/04/27,"7,031,185","2,260,035,786",333.0,333.0,314.0,320.0,-6.5,"5,317"
17,107/04/30,"4,531,087","1,493,567,509",325.0,332.5,322.5,331.0,11.0,"2,828"
