,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/05/04,"5,146,300","1,818,990,000",355.0,358.0,350.0,350.0,-10.0,"3,519"
1,104/05/05,"3,933,470","1,388,815,140",355.0,356.5,350.5,353.0,3.0,"2,539"
2,104/05/06,"5,269,988","1,842,147,287",353.0,353.0,346.0,350.0,-3.0,"3,420"
3,104/05/07,"6,897,793","2,353,146,706",347.5,348.0,336.5,342.0,-8.0,"4,788"
4,104/05/08,"5,013,119","1,715,828,960",344.5,347.0,338.0,339.0,-3.0,"3,282"
5,104/05/11,"5,552,317","1,929,250,584",347.0,352.0,342.0,352.0,13.0,"3,646"
6,104/05/12,"4,055,271","1,413,936,437",346.0,351.0,346.0,348.0,-4.0,"2,706"
7,104/05/13,"4,582,625","1,620,273,428",351.0,356.5,349.0,353.5,5.5,"3,411"
8,104/05/14,"3,355,933","1,172,148,817",356.0,356.0,347.0,347.0,-6.5,"2,287"
9,104/05/15,"4,015,495","1,378,580,280",348.0,350.0,340.0,342.5,-4.5,"2,688"
10,104/05/18,"2,388,363","816,290,550",345.0,345.5,340.0,340.0,-2.5,"1,648"
11,104/05/19,"5,558,632","1,937,417,728",343.0,356.0,341.0,354.0,14.0,"3,822"
12,104/05/20,"4,124,283","1,448,550,550",354.0,354.0,349.0,350.0,-4.0,"2,974"
13,104/05/21,"3,923,035","1,355,179,710",349.0,349.0,343.5,344.0,-6.0,"2,894"
14,104/05/22,"6,080,435","2,136,757,555",346.5,355.0,346.0,353.0,9.0,"4,037"
15,104/05/25,"6,969,731","2,512,238,863",353.0,366.0,350.5,361.5,8.5,"4,518"
16,104/05/26,"7,177,052","2,625,604,428",366.0,369.5,359.5,364.0,2.5,"5,030"
17,104/05/27,"5,129,621","1,865,155,104",362.5,368.0,358.5,362.5,-1.5,"3,564"
18,104/05/28,"5,540,571","2,035,263,344",369.0,371.0,364.0,364.0,1.5,"3,806"
