,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/06/01,"2,386,023","851,308,665",358.0,359.5,354.5,357.0,-3.0,"1,743"
1,104/06/02,"3,581,690","1,265,849,880",356.5,356.5,350.0,351.0,-6.0,"2,427"
2,104/06/03,"3,218,967","1,143,771,252",352.0,358.0,351.5,356.0,5.0,"2,573"
3,104/06/04,"5,458,099","1,892,618,894",352.0,356.0,340.0,341.0,-15.0,"3,774"
4,104/06/05,"5,428,683","1,846,094,818",340.0,347.0,333.5,346.0,5.0,"3,886"
5,104/06/08,"3,764,273","1,294,847,412",346.0,348.5,337.0,346.0,0.0,"2,794"
6,104/06/09,"4,446,819","1,521,576,012",344.0,348.0,335.0,348.0,2.0,"3,240"
7,104/06/10,"8,617,005","3,130,854,307",355.5,369.5,355.5,364.5,16.5,"6,042"
8,104/06/11,"4,900,298","1,789,825,174",367.5,368.0,362.0,363.0,-1.5,"3,493"
9,104/06/12,"2,606,031","945,005,160",364.5,366.0,360.0,360.0,-3.0,"2,027"
10,104/06/15,"3,904,818","1,418,049,616",360.0,366.5,357.0,362.0,2.0,"3,023"
11,104/06/16,"2,302,660","827,729,440",364.5,365.0,357.0,359.0,-3.0,"1,904"
12,104/06/17,"2,474,836","890,370,624",361.5,364.0,357.0,359.0,0.0,"1,986"
13,104/06/18,"2,541,739","911,081,707",357.5,362.0,355.5,355.5,-3.5,"1,724"
14,104/06/22,"3,540,021","1,273,140,997",358.0,362.0,358.0,358.0,2.5,"2,374"
15,104/06/23,"10,565,003","3,969,049,308",365.5,382.0,364.5,377.0,19.0,"6,970"
16,104/06/24,"3,466,425","1,313,844,344",377.0,382.0,375.5,378.5,1.5,"2,787"
17,104/06/25,"5,793,736","2,226,812,680",383.0,388.5,380.0,380.0,1.5,"4,163"
18,104/06/26,"3,221,056","1,231,760,504",382.0,384.5,378.5,384.0,4.0,"2,530"
19,104/06/29,"2,493,407","945,631,631",379.0,382.0,376.0,377.5,-6.5,"1,974"
