,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,108/06/03,"5,087,912","987,982,372",193.0,196.0,191.0,193.5,1.5,"2,991"
1,108/06/04,"3,541,103","679,629,102",193.0,194.0,190.5,190.5,-3.0,"2,168"
2,108/06/05,"4,525,551","876,480,011",198.0,198.0,190.5,191.0,0.5,"2,922"
3,108/06/06,"4,813,426","915,495,998",190.0,192.0,188.0,190.5,-0.5,"2,781"
4,108/06/10,"9,165,695","1,733,217,554",191.5,196.5,182.0,195.5,5.0,"6,907"
5,108/06/11,"6,886,162","1,393,346,443",201.5,204.0,200.0,203.5,8.0,"4,988"
6,108/06/12,"7,833,131","1,634,770,059",200.5,211.0,200.5,210.0,6.5,"5,413"
7,108/06/13,"9,438,672","2,031,901,631",215.5,219.0,212.5,213.5,3.5,"6,040"
8,108/06/14,"5,774,233","1,255,040,661",214.5,219.0,214.5,217.5,4.0,"3,934"
9,108/06/17,"3,298,574","710,931,912",217.5,217.5,214.0,217.0,-0.5,"2,374"
10,108/06/18,"2,519,110","545,808,480",217.5,218.0,215.0,218.0,1.0,"1,580"
11,108/06/19,"3,924,108","866,843,810",221.0,223.0,218.5,220.5,2.5,"2,795"
12,108/06/20,"2,975,009","662,520,516",222.0,224.0,221.0,223.0,2.5,"2,109"
13,108/06/21,"3,661,201","814,550,413",224.0,224.0,220.0,223.5,0.5,"1,975"
14,108/06/24,"2,067,934","457,130,414",223.5,223.5,218.0,221.0,-2.5,"1,566"
15,108/06/25,"1,979,582","438,559,950",221.0,223.0,220.5,222.5,1.5,"1,257"
16,108/06/26,"2,174,413","478,024,860",220.5,221.5,218.5,220.0,-2.5,"1,466"
17,108/06/27,"3,134,576","699,695,024",220.0,225.0,219.5,223.0,3.0,"2,056"
18,108/06/28,"1,289,733","286,974,959",223.0,224.0,221.0,222.5,-0.5,966
