,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,108/08/01,"2,686,776","619,059,419",228.5,232.5,228.0,232.0,1.0,"2,085"
1,108/08/02,"5,593,543","1,252,011,132",224.5,226.5,221.5,223.0,-9.0,"3,685"
2,108/08/05,"5,095,558","1,095,381,854",222.5,222.5,210.5,211.0,-12.0,"3,599"
3,108/08/06,"4,755,847","984,026,851",200.0,212.5,200.0,210.0,-1.0,"2,881"
4,108/08/07,"3,703,722","770,109,676",211.0,212.0,206.0,206.0,-4.0,"2,858"
5,108/08/08,"3,025,739","629,834,212",207.5,210.5,206.5,206.5,0.5,"1,952"
6,108/08/12,"9,259,263","1,991,145,702",210.0,221.5,208.5,218.0,11.5,"4,323"
7,108/08/13,"3,148,973","686,949,641",217.5,221.0,216.5,216.5,-1.5,"2,549"
8,108/08/14,"5,507,156","1,237,414,422",223.0,229.5,221.0,221.0,4.5,"3,929"
9,108/08/15,"2,984,957","647,165,597",215.0,218.5,214.5,217.0,-4.0,"2,212"
10,108/08/16,"2,744,065","595,972,170",220.0,220.0,214.5,216.5,-0.5,"2,021"
11,108/08/19,"1,823,857","399,046,102",219.0,220.5,217.5,217.5,1.0,"1,373"
12,108/08/20,"4,932,688","1,103,597,424",222.5,227.0,221.0,222.5,5.0,"3,610"
13,108/08/21,"2,814,330","631,555,920",222.0,226.0,221.5,224.0,1.5,"2,207"
14,108/08/22,"3,731,152","825,788,440",225.5,226.5,218.5,219.0,-5.0,"2,888"
15,108/08/23,"2,051,295","450,999,195",219.5,221.5,218.5,219.0,0.0,"1,535"
16,108/08/26,"3,876,063","826,407,497",214.5,215.0,211.0,213.0,-6.0,"2,566"
17,108/08/27,"3,189,336","685,093,566",216.0,217.5,213.5,213.5,0.5,"1,687"
18,108/08/28,"1,655,683","354,908,028",215.0,215.5,213.0,214.0,0.5,"1,221"
19,108/08/29,"2,117,968","453,205,056",215.0,216.0,212.0,216.0,2.0,"1,520"
20,108/08/30,"3,947,593","870,684,738",218.0,223.0,217.0,220.5,4.5,"2,663"
