,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,108/04/01,"9,975,589","2,452,763,894",240.5,249.5,240.5,246.5,9.5,"7,199"
1,108/04/02,"7,922,874","1,984,242,126",251.0,252.0,248.5,250.0,3.5,"4,632"
2,108/04/03,"4,814,298","1,189,153,808",251.5,251.5,245.5,246.0,-4.0,"3,066"
3,108/04/08,"4,956,380","1,219,324,768",250.0,250.0,244.0,244.0,-2.0,"3,224"
4,108/04/09,"3,381,110","836,450,940",247.0,248.5,245.5,248.0,4.0,"2,012"
5,108/04/10,"6,557,208","1,653,051,748",248.5,256.0,248.0,256.0,8.0,"4,069"
6,108/04/11,"13,654,237","3,592,626,701",261.5,268.0,259.5,263.5,7.5,"8,367"
7,108/04/12,"4,580,979","1,202,541,519",265.0,266.5,260.0,261.0,-2.5,"3,356"
8,108/04/15,"3,922,563","1,028,450,506",264.5,265.0,259.5,261.5,0.5,"3,094"
9,108/04/16,"4,379,148","1,148,294,012",262.0,264.5,260.0,263.0,1.5,"2,908"
10,108/04/17,"3,832,784","1,005,878,692",265.0,265.5,261.0,261.5,-1.5,"2,879"
11,108/04/18,"8,353,715","2,143,099,086",263.5,264.5,251.0,252.0,-9.5,"5,841"
12,108/04/19,"3,114,789","792,251,506",254.5,256.5,253.0,253.0,1.0,"2,364"
13,108/04/22,"2,492,793","625,997,637",253.5,254.5,249.0,249.5,-3.5,"1,987"
14,108/04/23,"3,924,408","993,518,465",252.0,258.0,247.5,258.0,8.5,"3,024"
15,108/04/24,"4,952,897","1,278,346,617",258.5,261.0,255.5,260.5,2.5,"3,433"
16,108/04/25,"2,911,629","757,280,540",261.0,262.0,259.0,260.0,-0.5,"2,295"
17,108/04/26,"4,936,953","1,256,430,402",259.0,259.0,252.0,252.0,-8.0,"2,980"
18,108/04/29,"3,269,377","823,959,563",253.0,255.0,248.5,253.0,1.0,"2,324"
19,108/04/30,"5,627,455","1,378,185,430",245.5,248.0,241.5,244.5,-8.5,"3,913"
