,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,106/10/02,"14,582,515","4,457,697,725",297.0,313.0,292.0,313.0,18.0,"9,999"
1,106/10/03,"14,359,290","4,474,693,747",316.5,318.0,305.0,305.5,-7.5,"9,554"
2,106/10/05,"9,992,665","3,125,943,458",305.5,316.0,304.0,316.0,10.5,"7,007"
3,106/10/06,"15,706,767","5,090,802,343",326.0,328.0,319.5,328.0,12.0,"9,560"
4,106/10/11,"12,138,930","3,933,128,200",330.0,331.0,318.0,321.5,-6.5,"7,844"
5,106/10/12,"4,829,422","1,553,096,662",323.0,326.0,319.0,320.5,-1.0,"3,514"
6,106/10/13,"8,265,131","2,572,183,461",319.5,319.5,306.5,312.5,-8.0,"5,703"
7,106/10/16,"6,916,414","2,177,255,582",312.5,322.0,309.5,312.0,-0.5,"5,228"
8,106/10/17,"4,686,423","1,468,279,630",315.5,317.0,309.5,309.5,-2.5,"3,390"
9,106/10/18,"7,060,468","2,167,591,255",315.0,315.5,298.0,304.0,-5.5,"5,019"
10,106/10/19,"8,649,303","2,590,104,348",298.0,303.5,293.0,302.0,-2.0,"5,962"
11,106/10/20,"5,016,244","1,508,472,790",300.0,304.5,295.5,303.5,1.5,"3,732"
12,106/10/23,"5,610,289","1,729,517,853",305.0,313.0,303.5,307.5,4.0,"3,944"
13,106/10/24,"3,439,985","1,061,726,731",310.0,310.5,306.0,308.5,1.0,"2,503"
14,106/10/25,"3,057,835","948,842,185",312.0,313.0,308.5,309.5,1.0,"2,138"
15,106/10/26,"5,016,165","1,563,101,395",309.5,317.0,305.0,313.0,3.5,"3,549"
16,106/10/27,"7,357,970","2,234,428,800",313.0,314.0,291.5,296.0,-17.0,"5,380"
17,106/10/30,"9,258,599","2,858,266,615",305.0,316.0,301.0,314.5,18.5,"6,568"
18,106/10/31,"9,859,237","3,156,025,840",317.0,324.0,315.0,320.0,5.5,"6,468"
