,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,104/09/01,"4,360,833","1,424,811,800",332.0,332.0,323.0,324.5,-7.5,"3,188"
1,104/09/02,"7,530,766","2,405,194,652",313.0,324.5,313.0,321.5,-3.0,"5,300"
2,104/09/03,"4,901,570","1,578,151,599",322.0,327.0,315.0,327.0,5.5,"3,660"
3,104/09/04,"5,549,119","1,761,355,797",325.0,326.5,310.5,310.5,-16.5,"3,849"
4,104/09/07,"6,293,013","2,003,792,634",323.0,326.0,314.0,314.0,3.5,"4,977"
5,104/09/08,"3,504,413","1,105,762,508",314.0,318.0,314.0,315.0,1.0,"2,792"
6,104/09/09,"14,342,121","4,807,226,827",325.0,345.5,323.5,337.5,22.5,"9,436"
7,104/09/10,"5,623,258","1,865,607,656",335.5,337.0,328.0,332.0,-5.5,"3,993"
8,104/09/11,"5,517,504","1,856,116,328",334.0,340.5,332.0,332.0,0.0,"4,226"
9,104/09/14,"4,881,745","1,655,146,055",337.0,343.5,335.5,339.0,7.0,"3,790"
10,104/09/15,"3,678,661","1,238,600,542",344.0,344.0,333.5,333.5,-5.5,"2,819"
11,104/09/16,"3,808,173","1,284,098,320",336.0,340.0,333.0,340.0,6.5,"2,790"
12,104/09/17,"5,157,000","1,770,774,995",346.0,348.0,340.0,342.5,2.5,"3,878"
13,104/09/18,"3,949,089","1,365,106,705",343.0,348.0,341.0,346.5,4.0,"2,898"
14,104/09/21,"3,061,521","1,039,508,352",342.0,343.5,338.0,338.5,-8.0,"2,198"
15,104/09/22,"3,774,300","1,297,695,500",340.5,346.0,340.5,346.0,7.5,"2,938"
16,104/09/23,"4,423,992","1,503,085,280",341.0,343.5,336.5,341.0,-5.0,"3,056"
17,104/09/24,"6,347,095","2,112,472,601",344.0,344.0,321.5,327.0,-14.0,"4,337"
18,104/09/25,"5,467,922","1,827,509,136",333.0,339.0,329.0,338.0,11.0,"4,086"
