,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,109/01/02,"4,464,798","1,028,970,434",228.0,232.0,228.0,232.0,5.0,"3,132"
1,109/01/03,"8,477,970","2,006,953,890",235.0,240.5,234.0,236.0,4.0,"4,840"
2,109/01/06,"4,030,643","959,231,701",234.5,240.0,234.0,237.5,1.5,"2,815"
3,109/01/07,"3,415,177","805,762,449",237.5,240.0,232.5,234.5,-3.0,"2,302"
4,109/01/08,"2,336,043","545,707,019",233.5,237.5,231.0,232.5,-2.0,"1,779"
5,109/01/09,"1,996,709","470,283,153",235.5,236.5,234.5,236.5,4.0,"1,408"
6,109/01/10,"3,538,434","845,581,292",238.5,242.5,236.0,236.0,-0.5,"2,506"
7,109/01/13,"5,615,811","1,360,062,695",239.5,244.5,237.0,244.0,8.0,"4,011"
8,109/01/14,"3,621,214","883,116,716",245.0,245.5,242.5,244.0,0.0,"2,725"
9,109/01/15,"3,041,586","736,668,685",244.0,244.5,240.0,243.0,-1.0,"2,206"
10,109/01/16,"7,719,510","1,914,072,488",245.5,250.0,244.0,250.0,7.0,"4,776"
11,109/01/17,"5,354,412","1,334,781,452",252.0,253.5,246.0,248.0,-2.0,"3,028"
12,109/01/20,"7,242,620","1,840,043,480",250.0,256.0,250.0,254.5,6.5,"4,634"
13,109/01/30,"11,529,097","2,861,280,404",252.0,252.5,241.5,241.5,-13.0,"6,911"
14,109/01/31,"4,223,780","1,038,508,481",247.5,251.0,242.5,244.0,2.5,"2,861"
