,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,108/12/02,"7,573,872","1,858,372,256",251.5,251.5,241.5,246.0,-3.5,"4,713"
1,108/12/03,"6,014,003","1,499,552,144",245.5,252.0,243.5,251.0,5.0,"3,771"
2,108/12/04,"4,504,084","1,116,230,084",252.0,252.0,245.5,249.5,-1.5,"3,150"
3,108/12/05,"4,083,100","1,026,835,700",251.5,253.0,250.0,251.5,2.0,"2,725"
4,108/12/06,"7,171,520","1,824,033,860",255.0,258.5,250.5,253.0,1.5,"4,416"
5,108/12/09,"3,635,012","927,202,084",256.0,257.0,253.0,254.0,1.0,"2,446"
6,108/12/10,"5,456,241","1,366,238,732",254.0,254.0,249.0,249.5,-4.5,"3,395"
7,108/12/11,"6,901,026","1,702,766,592",249.0,249.5,244.0,249.5,0.0,"4,535"
8,108/12/12,"15,326,253","3,726,919,091",246.0,246.5,240.5,241.0,-8.5,"9,842"
9,108/12/13,"8,417,840","2,050,966,550",242.5,246.0,241.5,244.0,3.0,"5,145"
10,108/12/16,"5,860,138","1,420,438,454",245.0,246.0,241.0,242.0,-2.0,"3,778"
11,108/12/17,"4,410,761","1,086,189,467",244.0,247.5,243.5,246.0,4.0,"3,339"
12,108/12/18,"4,215,096","1,045,754,808",248.0,250.0,246.0,247.5,1.5,"2,880"
13,108/12/19,"3,166,175","772,034,200",246.5,247.0,242.5,242.5,-5.0,"2,369"
14,108/12/20,"3,212,834","782,221,496",243.0,246.0,242.5,243.0,0.5,"1,863"
15,108/12/23,"2,031,655","495,380,785",242.0,245.0,242.0,245.0,2.0,"1,320"
16,108/12/24,"1,988,823","483,622,892",245.5,245.5,242.5,242.5,-2.5,"1,375"
17,108/12/25,"1,351,979","328,275,376",243.0,244.5,242.0,243.0,0.5,953
18,108/12/26,"1,538,690","373,287,550",243.0,244.0,241.5,243.0,0.0,"1,147"
19,108/12/27,"3,253,901","785,663,042",242.5,243.5,239.5,241.5,-1.5,"2,468"
20,108/12/30,"9,036,520","2,096,943,374",238.5,238.5,229.0,229.5,-12.0,"6,735"
21,108/12/31,"7,022,871","1,591,630,007",227.0,230.0,225.0,227.0,-2.5,"4,806"
