,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,108/03/04,"6,951,992","1,631,677,612",235.0,237.0,231.5,234.5,0.5,"4,178"
1,108/03/05,"4,274,047","1,004,172,565",234.0,237.0,232.5,234.0,-0.5,"2,828"
2,108/03/06,"5,640,763","1,310,295,410",230.0,236.0,228.0,233.5,-0.5,"4,045"
3,108/03/07,"11,340,042","2,540,648,450",221.0,227.5,221.0,223.0,-10.5,"7,335"
4,108/03/08,"6,750,651","1,495,380,336",220.0,223.5,220.0,220.0,-3.0,"4,933"
5,108/03/11,"6,109,580","1,342,772,100",221.0,223.5,218.0,218.0,-2.0,"3,894"
6,108/03/12,"4,845,731","1,080,440,142",223.0,225.5,221.0,221.0,3.0,"3,464"
7,108/03/13,"5,144,734","1,160,095,820",223.5,228.0,222.5,228.0,7.0,"3,608"
8,108/03/14,"5,645,221","1,296,176,888",231.0,232.5,227.0,227.0,-1.0,"4,034"
9,108/03/15,"5,083,158","1,158,541,340",229.5,231.0,225.0,229.0,2.0,"2,861"
10,108/03/18,"2,581,024","593,696,024",232.0,232.0,229.0,229.5,0.5,"1,834"
11,108/03/19,"3,344,688","776,176,304",230.5,233.5,230.0,231.5,2.0,"2,263"
12,108/03/20,"2,639,471","613,041,743",233.5,234.0,230.5,232.5,1.0,"1,963"
13,108/03/21,"2,423,466","565,643,770",234.0,234.0,232.5,234.0,1.5,"1,761"
14,108/03/22,"3,628,629","843,044,106",236.5,237.0,229.0,231.0,-3.0,"2,683"
15,108/03/25,"4,455,824","1,009,555,453",225.0,229.5,225.0,226.0,-5.0,"2,584"
16,108/03/26,"4,138,633","936,636,401",226.5,228.0,225.0,226.5,0.5,"2,297"
17,108/03/27,"5,140,217","1,185,210,344",226.0,233.5,225.5,232.0,5.5,"3,624"
18,108/03/28,"4,018,133","932,485,415",233.0,234.0,230.0,232.0,0.0,"2,727"
19,108/03/29,"6,481,097","1,531,342,625",234.0,237.5,233.5,237.0,5.0,"3,906"
