,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,105/06/01,"6,546,389","1,640,354,440",247.0,253.5,246.0,251.0,3.0,"4,129"
1,105/06/02,"4,626,800","1,145,278,000",249.5,252.0,244.0,245.0,-6.0,"3,120"
2,105/06/03,"3,437,796","846,327,204",245.0,248.5,244.0,248.5,3.5,"2,405"
3,105/06/04,"2,383,904","596,222,192",253.0,253.0,247.5,247.5,-1.0,"1,605"
4,105/06/06,"4,833,834","1,178,118,916",248.0,249.5,240.0,242.5,-5.0,"3,227"
5,105/06/07,"4,152,448","1,021,271,429",245.5,248.0,243.5,247.0,4.5,"2,653"
6,105/06/08,"7,834,748","1,940,515,756",250.0,250.0,246.0,247.0,0.0,"4,317"
7,105/06/13,"3,485,635","857,000,345",246.0,247.0,244.0,247.0,0.0,"2,240"
8,105/06/14,"7,497,277","1,877,846,027",245.5,254.0,245.5,251.5,4.5,"4,351"
9,105/06/15,"5,572,884","1,385,347,732",250.5,250.5,247.0,247.5,-4.0,"3,205"
10,105/06/16,"8,300,083","1,991,132,337",246.0,246.0,237.0,237.5,-10.0,"5,104"
11,105/06/17,"5,702,436","1,377,542,076",240.5,244.5,239.0,239.0,1.5,"3,702"
12,105/06/20,"2,891,855","701,436,620",243.0,244.5,240.5,244.0,5.0,"1,769"
13,105/06/21,"3,779,124","921,825,756",244.0,245.5,242.5,244.0,0.0,"2,223"
14,105/06/22,"5,017,758","1,241,162,984",244.0,249.0,244.0,247.5,3.5,"2,892"
15,105/06/23,"2,881,800","712,749,098",247.5,249.0,245.5,247.5,0.0,"1,584"
16,105/06/24,"7,567,333","1,824,185,087",249.0,249.5,234.0,239.0,-8.5,"4,905"
17,105/06/27,"5,620,690","1,323,129,988",238.0,239.0,233.0,234.5,-4.5,"3,733"
18,105/06/28,"7,933,721","1,859,654,156",230.0,240.0,227.0,235.5,1.0,"4,805"
19,105/06/29,"5,029,400","1,207,014,900",237.5,242.0,237.0,239.5,4.0,"3,228"
