,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,107/09/03,"4,635,918","1,756,446,250",377.0,384.0,374.0,376.0,-0.50,"2,829"
1,107/09/04,"3,548,686","1,321,069,164",376.0,378.5,369.5,372.5,-3.50,"2,508"
2,107/09/05,"2,663,769","987,431,399",371.0,373.5,369.0,370.0,-2.50,"1,689"
3,107/09/06,"3,518,305","1,283,005,080",364.0,366.5,362.5,366.0,-4.00,"2,526"
4,107/09/07,"5,663,709","2,052,629,142",366.0,367.0,356.0,360.5,-5.50,"3,685"
5,107/09/10,"6,293,448","2,200,612,412",360.0,360.0,343.0,350.0,-10.50,"4,404"
6,107/09/11,"3,676,150","1,289,936,750",353.0,355.0,348.0,351.5,+1.50,"2,792"
7,107/09/12,"5,318,701","1,844,597,443",353.0,354.0,341.5,342.5,-9.00,"3,565"
8,107/09/13,"5,427,262","1,915,824,962",350.5,359.0,343.5,350.5,+8.00,"4,004"
9,107/09/14,"2,823,008","1,009,238,360",352.5,361.5,352.5,358.0,+7.50,"2,286"
10,107/09/17,"4,126,053","1,481,600,811",360.0,362.0,356.0,360.5,+2.50,"2,334"
11,107/09/18,"4,263,017","1,488,124,865",349.5,355.0,344.5,344.5,X0.00,"3,186"
12,107/09/19,"2,603,982","911,058,074",349.5,352.0,345.5,352.0,+7.50,"2,024"
13,107/09/20,"9,936,316","3,331,336,542",351.5,353.5,321.0,337.5,-14.50,"7,031"
14,107/09/21,"6,716,492","2,253,165,756",337.5,340.5,325.0,339.5,+2.00,"4,884"
15,107/09/25,"4,089,580","1,368,626,780",333.5,338.5,329.0,336.0,-3.50,"3,164"
16,107/09/26,"3,110,447","1,040,364,143",335.0,337.5,331.5,337.0,+1.00,"1,928"
17,107/09/27,"3,592,419","1,213,273,960",335.0,341.0,332.5,338.0,+1.00,"2,268"
18,107/09/28,"3,086,934","1,041,435,192",340.0,342.0,333.0,336.0,-2.00,"1,997"
