,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,105/04/01,"4,886,710","1,268,284,809",264.0,264.0,257.5,259.0,-5.0,"3,519"
1,105/04/06,"10,575,208","2,751,511,620",260.0,266.0,255.0,263.0,4.0,"6,420"
2,105/04/07,"7,678,189","1,963,885,285",262.0,262.5,252.0,254.5,-8.5,"5,265"
3,105/04/08,"7,009,554","1,773,990,099",255.0,256.5,249.5,255.5,1.0,"5,015"
4,105/04/11,"5,368,043","1,370,757,653",253.0,259.5,250.0,259.5,4.0,"3,895"
5,105/04/12,"5,535,916","1,420,385,199",257.0,259.5,254.5,257.5,-2.0,"3,563"
6,105/04/13,"10,547,318","2,787,719,316",259.5,268.0,259.0,266.0,8.5,"6,817"
7,105/04/14,"5,956,915","1,605,023,720",271.0,272.5,267.0,269.5,3.5,"4,135"
8,105/04/15,"4,221,098","1,118,903,372",264.5,267.5,263.0,264.0,-5.5,"3,100"
9,105/04/18,"6,794,930","1,728,073,150",259.5,259.5,251.0,252.0,-12.0,"5,169"
10,105/04/19,"16,200,962","3,891,257,418",252.0,255.5,231.0,237.0,-15.0,"11,771"
11,105/04/20,"12,287,407","2,987,202,308",240.0,245.5,239.5,243.0,6.0,"7,762"
12,105/04/21,"9,501,822","2,272,356,924",245.0,245.5,237.0,239.0,-4.0,"5,820"
13,105/04/22,"12,914,920","2,985,673,228",234.5,237.0,226.0,233.5,-5.5,"7,956"
14,105/04/25,"7,247,773","1,688,230,088",235.0,236.0,229.5,235.0,1.5,"3,616"
15,105/04/26,"7,568,161","1,784,280,933",236.0,238.0,234.0,236.5,1.5,"4,377"
16,105/04/27,"8,782,210","2,028,197,672",231.5,235.0,225.0,233.5,-3.0,"5,084"
17,105/04/28,"7,211,800","1,662,819,196",235.0,236.0,228.0,232.0,-1.5,"4,497"
