news,漲,佳,好,穩,正,惠,效益,升,樂觀,增,跌,壓力,弱,不足,逆,降,挫,衝擊,悲,減
2014-05-22 94005.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-22 94057.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-22 94061.txt,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-05-23 94090.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23 94094.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-23 94118.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23 94226.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23 94254.txt,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2014-05-23 94288.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23 94289.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-23 94309.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23 94310.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23 94369.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23 94418.txt,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-05-23 94433.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23 94436.txt,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-05-24 94471.txt,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-05-26 94501.txt,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-26 94522.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-26 94567.txt,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-05-26 94695.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-26 94696.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-26 94761.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-26 94834.txt,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-05-26 94837.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-27 94867.txt,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-27 94932.txt,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-05-27 95011.txt,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-27 95077.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-27 95079.txt,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-05-27 95219.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-05-27 95222.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-27 95225.txt,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-05-28 95262.txt,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-28 95325.txt,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-05-28 95432.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-28 95456.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-05-28 95569.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-29 95609.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-29 95627.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-05-29 95686.txt,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-05-29 95816.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-29 95979.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-30 96025.txt,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-30 96193.txt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-30 96339.txt,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-05-30 96412.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-30 96504.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-30 96506.txt,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-05-31 96541.txt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-06-02 96592.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03 96629.txt,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03 96640.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-03 96652.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03 96653.txt,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-06-03 96681.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-03 96682.txt,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-03 96711.txt,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2014-06-03 96791.txt,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
2014-06-03 96882.txt,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03 96890.txt,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03 97012.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03 97015.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-06-04 97063.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-04 97076.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04 97077.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-06-04 97099.txt,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04 97127.txt,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-04 97326.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-04 97378.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04 97379.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04 97391.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04 97392.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04 97410.txt,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2014-06-04 97487.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04 97489.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-06-05 97524.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-05 97532.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-05 97550.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-05 97598.txt,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2014-06-05 97654.txt,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-05 97679.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-05 97787.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-05 97908.txt,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-05 97932.txt,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-05 97963.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-06-05 97966.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-06 98018.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-06 98067.txt,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1
2014-06-06 98092.txt,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-06 98607.txt,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-06 98837.txt,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-06 98840.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-06 98843.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-06 98989.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09 100124.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09 99102.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-09 99123.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09 99126.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09 99704.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-09 99715.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-10 100173.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-10 100190.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-10 100197.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-10 100260.txt,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1
2014-06-10 100764.txt,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
2014-06-10 101027.txt,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-06-10 101735.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-11 101802.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-11 101886.txt,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2014-06-11 102069.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-11 102460.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-12 102515.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-12 102533.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-12 102587.txt,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2014-06-12 102620.txt,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-12 103162.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-12 103242.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
